,latitude,longitude
2022-05-06 12:31:14,78.916447,-6.562449
2022-05-06 13:00:27,78.915071,-6.572431
2022-05-06 13:30:37,78.913906,-6.581696
2022-05-06 14:00:38,78.912894,-6.589544
2022-05-06 14:30:39,78.911871,-6.59617
2022-05-06 15:00:38,78.910762,-6.601269
2022-05-06 15:30:27,78.909425,-6.605517
2022-05-06 16:00:40,78.907863,-6.609864
2022-05-06 16:30:39,78.906237,-6.614232
2022-05-06 17:00:38,78.904356,-6.619478
2022-05-06 17:30:39,78.90226,-6.625965
2022-05-06 18:00:38,78.899862,-6.633191
2022-05-06 18:30:28,78.897139,-6.640995
2022-05-06 19:00:39,78.894043,-6.650277
2022-05-06 19:30:39,78.890696,-6.660749
2022-05-06 20:00:38,78.887192,-6.672911
2022-05-06 20:30:42,78.883535,-6.686759
2022-05-06 21:00:38,78.879852,-6.702221
2022-05-06 21:30:28,78.876247,-6.719315
2022-05-06 22:00:39,78.872799,-6.738022
2022-05-06 22:30:39,78.869523,-6.757569
2022-05-06 23:00:41,78.866424,-6.777693
2022-05-06 23:30:38,78.863588,-6.798025
2022-05-07 00:00:39,78.860909,-6.817779
2022-05-07 00:30:28,78.858567,-6.836825
2022-05-07 01:00:38,78.856549,-6.855402
2022-05-07 01:30:39,78.854863,-6.872314
2022-05-07 02:00:38,78.853403,-6.887548
2022-05-07 02:30:37,78.852109,-6.90104
2022-05-07 03:00:38,78.850965,-6.913191
2022-05-07 03:30:30,78.850085,-6.924274
2022-05-07 04:00:38,78.849296,-6.933637
2022-05-07 04:30:38,78.848441,-6.941104
2022-05-07 05:00:39,78.84745,-6.946757
2022-05-07 05:30:38,78.846346,-6.95088
2022-05-07 06:00:38,78.845086,-6.954646
2022-05-07 06:30:27,78.84366,-6.958256
2022-05-07 07:00:37,78.84212,-6.961579
2022-05-07 07:30:39,78.840422,-6.96483
2022-05-07 08:00:38,78.838587,-6.968737
2022-05-07 08:30:38,78.836595,-6.97321
2022-05-07 09:00:38,78.834406,-6.978617
2022-05-07 09:30:27,78.832099,-6.984852
2022-05-07 10:00:38,78.829779,-6.992387
2022-05-07 10:30:38,78.827455,-7.000504
2022-05-07 11:00:37,78.825199,-7.009009
2022-05-07 11:30:39,78.823023,-7.017489
2022-05-07 12:00:38,78.820996,-7.025441
2022-05-07 12:30:27,78.819145,-7.032803
2022-05-07 13:00:37,78.81743,-7.039848
2022-05-07 13:30:40,78.815851,-7.046185
2022-05-07 14:00:38,78.814385,-7.051292
2022-05-07 14:30:38,78.813019,-7.055123
2022-05-07 15:00:38,78.811661,-7.057457
2022-05-07 15:30:28,78.810266,-7.058381
2022-05-07 16:00:39,78.808734,-7.058549
2022-05-07 16:30:37,78.807114,-7.058275
2022-05-07 17:00:37,78.805448,-7.058319
2022-05-07 17:30:39,78.803861,-7.058588
2022-05-07 18:00:38,78.802338,-7.058711
2022-05-07 18:30:27,78.800802,-7.058726
2022-05-07 19:00:39,78.799175,-7.059138
2022-05-07 19:30:38,78.797504,-7.059723
2022-05-07 20:00:38,78.795758,-7.06049
2022-05-07 20:30:39,78.79392,-7.061878
2022-05-07 21:00:39,78.79204,-7.063547
2022-05-07 21:30:28,78.790076,-7.065369
2022-05-07 22:00:40,78.788005,-7.067734
2022-05-07 22:30:38,78.786005,-7.070579
2022-05-07 23:00:38,78.783937,-7.073277
2022-05-07 23:30:37,78.78178,-7.075649
2022-05-08 00:00:39,78.77953,-7.077485
2022-05-08 00:30:26,78.777303,-7.079059
2022-05-08 01:00:38,78.775094,-7.08057
2022-05-08 01:30:39,78.772841,-7.081466
2022-05-08 02:00:39,78.770377,-7.081518
2022-05-08 02:30:38,78.767924,-7.080739
2022-05-08 03:00:40,78.76549,-7.079377
2022-05-08 03:30:27,78.763075,-7.077567
2022-05-08 04:00:39,78.760717,-7.075217
2022-05-08 04:29:34,78.75838,-7.072571
2022-05-08 05:00:38,78.755947,-7.069955
2022-05-08 05:30:39,78.753461,-7.067094
2022-05-08 06:00:40,78.750922,-7.064432
2022-05-08 06:30:26,78.748429,-7.061603
2022-05-08 07:00:38,78.745546,-7.058262
2022-05-08 07:30:37,78.742109,-7.05543
2022-05-08 08:00:39,78.738367,-7.053707
2022-05-08 08:30:40,78.734154,-7.053846
2022-05-08 09:00:39,78.729361,-7.056114
2022-05-08 09:30:26,78.72446,-7.060256
2022-05-08 10:00:39,78.719886,-7.066281
