,longitude,latitude,qc,flag
2015-01-18 13:00:00,21.520087,82.984647,1,False
2015-01-18 14:00:00,21.522887,82.983847,1,False
2015-01-18 15:00:00,21.525547,82.983047,1,False
2015-01-18 16:00:00,21.527538,82.982316,1,False
2015-01-18 17:00:00,21.528558,82.981538,1,False
2015-01-18 18:00:00,21.529355,82.980744,1,False
2015-01-18 19:00:00,21.530712,82.979806,1,False
2015-01-18 20:00:00,21.532657,82.978825,1,False
2015-01-18 21:00:00,21.535966,82.977691,1,False
2015-01-18 22:00:00,21.541292,82.976651,1,False
2015-01-18 23:00:00,21.548763,82.975708,1,False
2015-01-19 00:00:00,21.55751,82.974935,1,False
2015-01-19 01:00:00,21.568457,82.974771,1,False
2015-01-19 02:00:00,21.580905,82.97521,1,False
2015-01-19 03:00:00,21.592761,82.97611,1,False
2015-01-19 04:00:00,21.602834,82.977568,1,False
2015-01-19 05:00:00,21.610065,82.979474,1,False
2015-01-19 06:00:00,21.613926,82.981934,1,False
2015-01-19 07:00:00,21.615931,82.984771,1,False
2015-01-19 08:00:00,21.616467,82.987093,1,False
2015-01-19 09:00:00,21.614258,82.9894,1,False
2015-01-19 10:00:00,21.611916,82.991772,1,False
2015-01-19 11:00:00,21.612044,82.994373,1,False
2015-01-19 12:00:00,21.613618,82.996973,1,False
2015-01-19 13:00:00,21.615698,82.999224,1,False
2015-01-19 14:00:00,21.616467,83.00151,1,False
2015-01-19 15:00:00,21.613421,83.003456,1,False
2015-01-19 16:00:00,21.605663,83.005092,1,False
2015-01-19 17:00:00,21.592434,83.006353,1,False
2015-01-19 18:00:00,21.573784,83.007433,1,False
2015-01-19 19:00:00,21.55161,83.007968,1,False
2015-01-19 20:00:00,21.525301,83.00806,1,False
2015-01-19 21:00:00,21.496347,83.008019,1,False
2015-01-19 22:00:00,21.466732,83.007378,1,False
2015-01-19 23:00:00,21.439638,83.006347,1,False
2015-01-20 00:00:00,21.414912,83.005129,1,False
2015-01-20 01:00:00,21.393832,83.003644,1,False
2015-01-20 02:00:00,21.374622,83.002148,1,False
2015-01-20 03:00:00,21.356535,83.00058,1,False
2015-01-20 04:00:00,21.337462,82.99892,1,False
2015-01-20 05:00:00,21.316277,82.997232,1,False
2015-01-20 06:00:00,21.293546,82.995466,1,False
2015-01-20 07:00:00,21.269442,82.993606,1,False
2015-01-20 08:00:00,21.24213,82.991718,1,False
2015-01-20 09:00:00,21.213222,82.989613,1,False
2015-01-20 10:00:00,21.185994,82.987511,1,False
2015-01-20 11:00:00,21.164716,82.98548,1,False
2015-01-20 12:00:00,21.150122,82.983541,1,False
2015-01-20 13:00:00,21.141734,82.982047,1,False
2015-01-20 14:00:00,21.136896,82.980898,1,False
2015-01-20 15:00:00,21.13348,82.979992,1,False
2015-01-20 16:00:00,21.129936,82.979161,1,False
2015-01-20 17:00:00,21.124818,82.97849,1,False
2015-01-20 18:00:00,21.116363,82.97766,1,False
2015-01-20 19:00:00,21.105225,82.976781,1,False
2015-01-20 20:00:00,21.09237,82.976027,1,False
2015-01-20 21:00:00,21.078716,82.97545,1,False
2015-01-20 22:00:00,21.065588,82.974927,1,False
2015-01-20 23:00:00,21.054224,82.97435,1,False
2015-01-21 00:00:00,21.046114,82.973966,1,False
2015-01-21 01:00:00,21.039267,82.97406,1,False
2015-01-21 02:00:00,21.034337,82.974437,1,False
2015-01-21 03:00:00,21.028869,82.975109,1,False
2015-01-21 04:00:00,21.020938,82.976358,1,False
2015-01-21 05:00:00,21.012052,82.978411,1,False
2015-01-21 06:00:00,21.00504,82.981054,1,False
2015-01-21 07:00:00,20.999711,82.984296,1,False
2015-01-21 08:00:00,21.001238,82.987717,1,False
2015-01-21 09:00:00,21.009582,82.991194,1,False
2015-01-21 10:00:00,21.023127,82.994338,1,False
2015-01-21 11:00:00,21.044941,82.997172,1,False
2015-01-21 12:00:00,21.072048,82.999355,1,False
2015-01-21 13:00:00,21.100825,83.001131,1,False
2015-01-21 14:00:00,21.131643,83.002366,1,False
2015-01-21 15:00:00,21.161262,83.003297,1,False
2015-01-21 16:00:00,21.183753,83.003997,1,False
2015-01-21 17:00:00,21.196134,83.004767,1,False
2015-01-21 18:00:00,21.201412,83.005836,1,False
