,longitude,latitude,qc,flag
2015-04-20 15:00:00,16.392,83.1798,1,False
2015-04-20 16:00:00,16.4474,83.1742,1,False
2015-04-20 17:00:00,16.4946,83.1692,1,False
2015-04-20 18:00:00,16.5358,83.1646,1,False
2015-04-20 19:00:00,16.5772,83.1604,1,False
2015-04-20 20:00:00,16.6212,83.1562,1,False
2015-04-20 21:00:00,16.6722,83.152,1,False
2015-04-20 22:00:00,16.728,83.1472,1,False
2015-04-20 23:00:00,16.781,83.1418,1,False
2015-04-21 00:00:00,16.82824,83.136276,1,False
2015-04-21 01:00:00,16.8772,83.1302,1,False
2015-04-21 02:00:00,16.9204,83.1254,1,False
2015-04-21 03:00:00,16.9628,83.121,1,False
2015-04-21 04:00:00,17.0012,83.1176,1,False
2015-04-21 05:00:00,17.0378,83.1152,1,False
2015-04-21 06:00:00,17.074,83.1138,1,False
2015-04-21 07:00:00,17.1112,83.1128,1,False
2015-04-21 08:00:00,17.1534,83.1114,1,False
2015-04-21 09:00:00,17.1936,83.1088,1,False
2015-04-21 10:00:00,17.2332,83.1054,1,False
2015-04-21 11:00:00,17.272,83.1016,1,False
2015-04-21 12:00:00,17.3098,83.0976,1,False
2015-04-21 13:00:00,17.3454,83.0934,1,False
2015-04-21 14:00:00,17.3794,83.0886,1,False
2015-04-21 15:00:00,17.415,83.084,1,False
2015-04-21 16:00:00,17.4432,83.0796,1,False
2015-04-21 17:00:00,17.467,83.0758,1,False
2015-04-21 18:00:00,17.4944,83.0728,1,False
2015-04-21 19:00:00,17.5272,83.0708,1,False
2015-04-21 20:00:00,17.564534,83.068895,1,False
2015-04-21 21:00:00,17.6078,83.0664,1,False
2015-04-21 22:00:00,17.649,83.0634,1,False
2015-04-21 23:00:00,17.6868,83.0596,1,False
2015-04-22 00:00:00,17.7188,83.0552,1,False
2015-04-22 01:00:00,17.7404,83.051,1,False
2015-04-22 02:00:00,17.7548,83.0472,1,False
2015-04-22 03:00:00,17.765657,83.044152,1,False
2015-04-22 04:00:00,17.7772,83.0414,1,False
2015-04-22 05:00:00,17.789,83.039,1,False
2015-04-22 06:00:00,17.7986,83.0368,1,False
2015-04-22 07:00:00,17.8066,83.0344,1,False
2015-04-22 08:00:00,17.8146,83.0316,1,False
2015-04-22 09:00:00,17.8224,83.0286,1,False
2015-04-22 10:00:00,17.8298,83.0252,1,False
2015-04-22 11:00:00,17.838,83.0216,1,False
2015-04-22 12:00:00,17.8458,83.0172,1,False
2015-04-22 13:00:00,17.8518,83.0124,1,False
2015-04-22 14:00:00,17.856,83.008,1,False
2015-04-22 15:00:00,17.8592,83.0038,1,False
2015-04-22 16:00:00,17.862,83.0006,1,False
2015-04-22 17:00:00,17.8646,82.998,1,False
2015-04-22 18:00:00,17.8674,82.9962,1,False
2015-04-22 19:00:00,17.8708,82.9952,1,False
2015-04-23 02:00:00,17.8798,82.9932,1,False
2015-04-23 03:00:00,17.8714,82.9926,1,False
2015-04-23 04:00:00,17.8574,82.9918,1,False
2015-04-23 05:00:00,17.8394,82.9912,1,False
2015-04-23 06:00:00,17.8208,82.9904,1,False
2015-04-23 07:00:00,17.8004,82.9894,1,False
2015-04-23 08:00:00,17.7786,82.9878,1,False
2015-04-23 09:00:00,17.756,82.9856,1,False
2015-04-23 10:00:00,17.7316,82.9828,1,False
2015-04-23 11:00:00,17.7012,82.9796,1,False
2015-04-23 12:00:00,17.6644,82.976,1,False
2015-04-23 13:00:00,17.6218,82.9718,1,False
2015-04-23 14:00:00,17.57818,82.9678,1,False
2015-04-23 15:00:00,17.527,82.9628,1,False
2015-04-23 16:00:00,17.476676,82.958348,1,False
2015-04-23 17:00:00,17.4192,82.9532,1,False
2015-04-23 18:00:00,17.3644,82.9484,1,False
2015-04-23 19:00:00,17.31,82.9434,1,False
2015-04-23 20:00:00,17.256855,82.938257,1,False
2015-04-23 21:00:00,17.1988,82.9326,1,False
2015-04-23 22:00:00,17.142,82.9278,1,False
2015-04-23 23:00:00,17.084,82.9236,1,False
2015-04-24 00:00:00,17.0226,82.92,1,False
2015-04-24 01:00:00,16.96318,82.917678,1,False
2015-04-24 02:00:00,16.90377,82.916271,1,False
2015-04-24 03:00:00,16.8454,82.9154,1,False
2015-04-24 04:00:00,16.7966,82.915,1,False
2015-04-24 05:00:00,16.7576,82.9144,1,False
2015-04-24 06:00:00,16.7258,82.9138,1,False
2015-04-24 07:00:00,16.694,82.9124,1,False
2015-04-24 08:00:00,16.6656,82.9108,1,False
2015-04-24 09:00:00,16.6424,82.9086,1,False
2015-04-24 10:00:00,16.6208,82.9054,1,False
2015-04-24 11:00:00,16.5964,82.9018,1,False
2015-04-24 12:00:00,16.57,82.8976,1,False
2015-04-24 13:00:00,16.542,82.8934,1,False
2015-04-24 14:00:00,16.5154,82.889,1,False
2015-04-24 15:00:00,16.496,82.8842,1,False
2015-04-24 16:00:00,16.4858,82.8794,1,False
2015-04-24 17:00:00,16.4856,82.8748,1,False
2015-04-24 18:00:00,16.4906,82.8706,1,False
2015-04-24 19:00:00,16.497568,82.866729,1,False
2015-04-24 20:00:00,16.5044,82.8624,1,False
2015-04-24 21:00:00,16.513,82.8582,1,False
2015-04-24 22:00:00,16.5214,82.8538,1,False
2015-04-24 23:00:00,16.5294,82.849,1,False
2015-04-25 00:00:00,16.5354,82.8438,1,False
2015-04-25 01:00:00,16.5398,82.8388,1,False
2015-04-25 02:00:00,16.544,82.834,1,False
2015-04-25 03:00:00,16.5512,82.8288,1,False
2015-04-25 04:00:00,16.5604,82.8238,1,False
