,longitude,latitude,qc,flag
2015-03-01 14:00:00,26.4312,82.948,1,False
2015-03-01 15:00:00,26.4148,82.9498,1,False
2015-03-01 16:00:00,26.396,82.9512,1,False
2015-03-01 17:00:00,26.3756,82.9526,1,False
2015-03-01 18:00:00,26.3528,82.9534,1,False
2015-03-01 19:00:00,26.3288,82.9544,1,False
2015-03-01 20:00:00,26.3036,82.9552,1,False
2015-03-01 21:00:00,26.278,82.956,1,False
2015-03-01 22:00:00,26.2514,82.9568,1,False
2015-03-01 23:00:00,26.2246,82.9576,1,False
2015-03-02 00:00:00,26.1982,82.9586,1,False
2015-03-02 01:00:00,26.1732,82.9594,1,False
2015-03-02 02:00:00,26.1486,82.9604,1,False
2015-03-02 03:00:00,26.1238,82.9614,1,False
2015-03-02 04:00:00,26.097284,82.962174,1,False
2015-03-02 05:00:00,26.0686,82.963,1,False
2015-03-02 06:00:00,26.0404,82.9638,1,False
2015-03-02 07:00:00,26.0118,82.9648,1,False
2015-03-02 08:00:00,25.980325,82.965784,1,False
2015-03-02 09:00:00,25.94735,82.966783,1,False
2015-03-02 10:00:00,25.914547,82.968177,1,False
2015-03-02 11:00:00,25.884107,82.969577,1,False
2015-03-02 12:00:00,25.853117,82.971567,1,False
2015-03-02 13:00:00,25.824871,82.973567,1,False
2015-03-02 14:00:00,25.798244,82.975567,1,False
2015-03-02 15:00:00,25.77007,82.977173,1,False
2015-03-02 16:00:00,25.737936,82.979167,1,False
2015-03-02 17:00:00,25.701,82.9814,1,False
2015-03-02 18:00:00,25.6588,82.9842,1,False
2015-03-02 19:00:00,25.614735,82.986561,1,False
2015-03-02 20:00:00,25.566406,82.989157,1,False
2015-03-02 21:00:00,25.520368,82.99156,1,False
2015-03-02 22:00:00,25.471416,82.99396,1,False
2015-03-02 23:00:00,25.423794,82.99577,1,False
2015-03-03 00:00:00,25.371669,82.998554,1,False
2015-03-03 01:00:00,25.3196,83.0006,1,False
2015-03-03 02:00:00,25.266092,83.002961,1,False
2015-03-03 03:00:00,25.2106,83.0056,1,False
2015-03-03 04:00:00,25.1488,83.009,1,False
2015-03-03 05:00:00,25.0868,83.0122,1,False
2015-03-03 06:00:00,25.02,83.016,1,False
2015-03-03 07:00:00,24.948,83.0208,1,False
2015-03-03 08:00:00,24.8808,83.026,1,False
2015-03-03 09:00:00,24.8038,83.0322,1,False
2015-03-03 10:00:00,24.7332,83.0384,1,False
2015-03-03 11:00:00,24.6664,83.0448,1,False
2015-03-03 12:00:00,24.6032,83.052,1,False
2015-03-03 13:00:00,24.5408,83.0596,1,False
2015-03-03 14:00:00,24.485,83.0672,1,False
2015-03-03 15:00:00,24.4364,83.0746,1,False
2015-03-03 16:00:00,24.3904,83.082,1,False
2015-03-03 17:00:00,24.3422,83.0892,1,False
2015-03-03 18:00:00,24.3,83.0954,1,False
2015-03-03 19:00:00,24.2602,83.101,1,False
2015-03-03 20:00:00,24.218,83.1064,1,False
2015-03-03 21:00:00,24.1812,83.1112,1,False
2015-03-03 22:00:00,24.144,83.1158,1,False
2015-03-03 23:00:00,24.1158,83.1198,1,False
2015-03-04 00:00:00,24.0922,83.1234,1,False
2015-03-04 01:00:00,24.0774,83.1264,1,False
2015-03-04 02:00:00,24.0664,83.1292,1,False
2015-03-04 03:00:00,24.0634,83.1322,1,False
2015-03-04 04:00:00,24.063597,83.134757,1,False
2015-03-04 05:00:00,24.0658,83.1372,1,False
2015-03-04 06:00:00,24.0698,83.1396,1,False
2015-03-04 07:00:00,24.0772,83.1416,1,False
2015-03-04 08:00:00,24.0884,83.1432,1,False
2015-03-04 09:00:00,24.1044,83.1446,1,False
2015-03-04 10:00:00,24.1248,83.1454,1,False
2015-03-04 11:00:00,24.1488,83.1458,1,False
2015-03-04 12:00:00,24.1732,83.146,1,False
2015-03-04 13:00:00,24.1926,83.1456,1,False
2015-03-04 14:00:00,24.207,83.1446,1,False
2015-03-04 15:00:00,24.2168,83.1428,1,False
2015-03-04 16:00:00,24.224,83.1412,1,False
2015-03-04 17:00:00,24.2292,83.14,1,False
2015-03-04 18:00:00,24.2314,83.1392,1,False
2015-03-04 19:00:00,24.2298,83.1382,1,False
2015-03-04 20:00:00,24.2254,83.1378,1,False
2015-03-04 21:00:00,24.2198,83.1372,1,False
2015-03-04 22:00:00,24.2132,83.1366,1,False
2015-03-04 23:00:00,24.2058,83.1358,1,False
2015-03-05 00:00:00,24.1984,83.1352,1,False
2015-03-05 01:00:00,24.193,83.1346,1,False
2015-03-05 06:00:00,24.1772,83.1348,1,False
2015-03-05 07:00:00,24.1686,83.135,1,False
2015-03-05 08:00:00,24.1582,83.135,1,False
2015-03-05 09:00:00,24.15,83.1352,1,False
2015-03-05 10:00:00,24.1452,83.1356,1,False
2015-03-05 13:00:00,24.1574,83.1366,1,False
2015-03-05 14:00:00,24.169,83.137,1,False
2015-03-05 15:00:00,24.1818,83.1374,1,False
2015-03-05 16:00:00,24.1952,83.138,1,False
2015-03-05 17:00:00,24.2074,83.1384,1,False
2015-03-05 18:00:00,24.2184,83.1388,1,False
2015-03-05 19:00:00,24.227,83.1388,1,False
2015-03-05 20:00:00,24.2324,83.1384,1,False
2015-03-05 21:00:00,24.2366,83.1376,1,False
2015-03-05 22:00:00,24.2418,83.1366,1,False
2015-03-05 23:00:00,24.2504,83.1354,1,False
2015-03-06 00:00:00,24.2638,83.1342,1,False
2015-03-06 01:00:00,24.283,83.1328,1,False
2015-03-06 02:00:00,24.3064,83.1312,1,False
2015-03-06 03:00:00,24.3314,83.1294,1,False
2015-03-06 04:00:00,24.354416,83.12763,1,False
2015-03-06 05:00:00,24.372105,83.12583,1,False
2015-03-06 06:00:00,24.385182,83.124227,1,False
2015-03-06 07:00:00,24.392675,83.123217,1,False
2015-03-06 08:00:00,24.399093,83.123004,1,False
2015-03-06 09:00:00,24.405887,83.123197,1,False
2015-03-06 10:00:00,24.412883,83.123003,1,False
2015-03-06 11:00:00,24.4184,83.1226,1,False
2015-03-06 14:00:00,24.418072,83.12319,1,False
2015-03-06 15:00:00,24.410329,83.124183,1,False
2015-03-06 16:00:00,24.398398,83.125748,1,False
2015-03-06 17:00:00,24.380302,83.127373,1,False
2015-03-06 18:00:00,24.356595,83.12917,1,False
2015-03-06 19:00:00,24.325321,83.131167,1,False
2015-03-06 20:00:00,24.290776,83.132773,1,False
2015-03-06 21:00:00,24.254406,83.13398,1,False
2015-03-06 22:00:00,24.2194,83.1352,1,False
2015-03-06 23:00:00,24.186941,83.13638,1,False
2015-03-07 00:00:00,24.156507,83.137383,1,False
2015-03-07 01:00:00,24.130081,83.138367,1,False
2015-03-07 02:00:00,24.105809,83.139754,1,False
2015-03-07 03:00:00,24.084358,83.141373,1,False
2015-03-07 04:00:00,24.06335,83.14317,1,False
2015-03-07 05:00:00,24.040383,83.14497,1,False
2015-03-07 06:00:00,24.0138,83.1466,1,False
2015-03-07 07:00:00,23.9832,83.148,1,False
2015-03-07 08:00:00,23.9472,83.1492,1,False
2015-03-07 09:00:00,23.9058,83.1504,1,False
2015-03-07 10:00:00,23.8658,83.1518,1,False
2015-03-07 11:00:00,23.831,83.153,1,False
2015-03-07 12:00:00,23.8022,83.1544,1,False
2015-03-07 13:00:00,23.7814,83.156,1,False
2015-03-07 14:00:00,23.7684,83.158,1,False
2015-03-07 15:00:00,23.761,83.16,1,False
2015-03-07 16:00:00,23.757,83.162,1,False
2015-03-07 17:00:00,23.7518,83.164,1,False
2015-03-07 18:00:00,23.7432,83.1662,1,False
2015-03-07 19:00:00,23.7316,83.1684,1,False
2015-03-07 20:00:00,23.7174,83.1712,1,False
2015-03-07 21:00:00,23.7018,83.1736,1,False
2015-03-07 22:00:00,23.683,83.1754,1,False
2015-03-07 23:00:00,23.6614,83.1766,1,False
2015-03-08 00:00:00,23.6378,83.1778,1,False
2015-03-08 01:00:00,23.6134,83.1786,1,False
2015-03-08 02:00:00,23.5884,83.1794,1,False
2015-03-08 03:00:00,23.5624,83.1804,1,False
2015-03-08 04:00:00,23.534269,83.181384,1,False
2015-03-08 05:00:00,23.5026,83.1824,1,False
2015-03-08 06:00:00,23.4658,83.184,1,False
2015-03-08 07:00:00,23.4228,83.1856,1,False
2015-03-08 08:00:00,23.3738,83.1868,1,False
2015-03-08 09:00:00,23.3208,83.1878,1,False
2015-03-08 10:00:00,23.2638,83.1886,1,False
2015-03-08 11:00:00,23.2038,83.189,1,False
2015-03-08 12:00:00,23.1368,83.1894,1,False
2015-03-08 13:00:00,23.068,83.19,1,False
2015-03-08 14:00:00,22.999,83.1904,1,False
2015-03-08 15:00:00,22.9338,83.191,1,False
2015-03-08 16:00:00,22.876,83.1916,1,False
2015-03-08 17:00:00,22.8232,83.1922,1,False
2015-03-08 18:00:00,22.775,83.1928,1,False
2015-03-08 19:00:00,22.7298,83.1934,1,False
2015-03-08 20:00:00,22.6842,83.1934,1,False
2015-03-08 21:00:00,22.6402,83.1934,1,False
2015-03-08 22:00:00,22.5962,83.1928,1,False
2015-03-08 23:00:00,22.5532,83.1922,1,False
2015-03-09 00:00:00,22.5108,83.1914,1,False
2015-03-09 01:00:00,22.4726,83.1904,1,False
2015-03-09 02:00:00,22.4376,83.1894,1,False
2015-03-09 03:00:00,22.4064,83.1884,1,False
2015-03-09 04:00:00,22.3778,83.1876,1,False
2015-03-09 05:00:00,22.3518,83.187,1,False
2015-03-09 06:00:00,22.327,83.1864,1,False
2015-03-09 07:00:00,22.3012,83.1858,1,False
