,longitude,latitude,qc,flag
2015-04-21 13:00:00,16.0852,83.0042,1,False
2015-04-21 14:00:00,16.115,82.9994,1,False
2015-04-21 15:00:00,16.1422,82.9946,1,False
2015-04-21 16:00:00,16.1636,82.99,1,False
2015-04-21 17:00:00,16.182,82.9858,1,False
2015-04-21 18:00:00,16.2012,82.9828,1,False
2015-04-21 19:00:00,16.2216,82.9806,1,False
2015-04-21 20:00:00,16.2448,82.9788,1,False
2015-04-21 21:00:00,16.2692,82.9768,1,False
2015-04-21 22:00:00,16.296,82.9742,1,False
2015-04-21 23:00:00,16.3208,82.9704,1,False
2015-04-22 00:00:00,16.3386,82.9666,1,False
2015-04-22 01:00:00,16.3542,82.9626,1,False
2015-04-22 02:00:00,16.3696,82.9588,1,False
2015-04-22 03:00:00,16.3854,82.9556,1,False
2015-04-22 04:00:00,16.3998,82.9526,1,False
2015-04-22 05:00:00,16.4112,82.95,1,False
2015-04-22 06:00:00,16.418,82.9476,1,False
2015-04-22 07:00:00,16.4204,82.9452,1,False
2015-04-22 08:00:00,16.42,82.9428,1,False
2015-04-22 09:00:00,16.4214,82.94,1,False
2015-04-22 10:00:00,16.4248,82.9364,1,False
2015-04-22 11:00:00,16.428,82.9322,1,False
2015-04-22 12:00:00,16.4326,82.9274,1,False
2015-04-22 13:00:00,16.4374,82.9222,1,False
2015-04-22 14:00:00,16.4426,82.9174,1,False
2015-04-22 15:00:00,16.448,82.913,1,False
2015-04-22 16:00:00,16.4548,82.9098,1,False
2015-04-22 17:00:00,16.4624,82.9072,1,False
2015-04-22 18:00:00,16.4682,82.9058,1,False
2015-04-22 19:00:00,16.4736,82.9052,1,False
2015-04-23 02:00:00,16.4868,82.9034,1,False
2015-04-23 03:00:00,16.4802,82.9028,1,False
2015-04-23 04:00:00,16.4696,82.9024,1,False
2015-04-23 05:00:00,16.4544,82.9016,1,False
2015-04-23 06:00:00,16.4382,82.901,1,False
2015-04-23 07:00:00,16.42,82.9,1,False
2015-04-23 08:00:00,16.401,82.8984,1,False
2015-04-23 09:00:00,16.3792,82.8962,1,False
2015-04-23 10:00:00,16.3578,82.8932,1,False
2015-04-23 11:00:00,16.3328,82.8896,1,False
2015-04-23 12:00:00,16.3042,82.8852,1,False
2015-04-23 13:00:00,16.2716,82.8806,1,False
2015-04-23 14:00:00,16.2372,82.8758,1,False
2015-04-23 15:00:00,16.2026,82.8708,1,False
2015-04-23 16:00:00,16.1634,82.8654,1,False
2015-04-23 17:00:00,16.1202,82.8598,1,False
2015-04-23 18:00:00,16.0708,82.8544,1,False
2015-04-23 19:00:00,16.0196,82.8492,1,False
2015-04-23 20:00:00,15.9592,82.8438,1,False
2015-04-23 21:00:00,15.893,82.8386,1,False
2015-04-23 22:00:00,15.8288,82.8338,1,False
2015-04-23 23:00:00,15.7658,82.829,1,False
2015-04-24 00:00:00,15.6976,82.8256,1,False
2015-04-24 01:00:00,15.6306,82.8234,1,False
2015-04-24 02:00:00,15.5662,82.8218,1,False
2015-04-24 03:00:00,15.5052,82.8212,1,False
2015-04-24 04:00:00,15.454,82.8212,1,False
2015-04-24 05:00:00,15.4122,82.8212,1,False
2015-04-24 06:00:00,15.3768,82.8214,1,False
2015-04-24 07:00:00,15.3476,82.8212,1,False
2015-04-24 08:00:00,15.3238,82.8204,1,False
2015-04-24 09:00:00,15.3016,82.8182,1,False
2015-04-24 10:00:00,15.2814,82.815,1,False
2015-04-24 11:00:00,15.2598,82.8108,1,False
2015-04-24 12:00:00,15.236,82.8058,1,False
2015-04-24 13:00:00,15.2112,82.8006,1,False
2015-04-24 14:00:00,15.1878,82.795,1,False
2015-04-24 15:00:00,15.17,82.7892,1,False
2015-04-24 16:00:00,15.1596,82.7838,1,False
2015-04-24 17:00:00,15.1564,82.7788,1,False
2015-04-24 18:00:00,15.1594,82.774,1,False
2015-04-24 19:00:00,15.1676,82.7696,1,False
2015-04-24 20:00:00,15.1768,82.7648,1,False
2015-04-24 21:00:00,15.1832,82.76,1,False
2015-04-24 22:00:00,15.1886,82.7552,1,False
2015-04-24 23:00:00,15.1894,82.7504,1,False
2015-04-25 00:00:00,15.1886,82.7456,1,False
2015-04-25 01:00:00,15.1858,82.7404,1,False
2015-04-25 02:00:00,15.1832,82.7358,1,False
2015-04-25 03:00:00,15.1862,82.7316,1,False
2015-04-25 04:00:00,15.1936,82.7274,1,False
2015-04-25 05:00:00,15.2072,82.7234,1,False
2015-04-25 06:00:00,15.224,82.7192,1,False
2015-04-25 07:00:00,15.2414,82.7144,1,False
2015-04-25 08:00:00,15.2566,82.7092,1,False
2015-04-25 09:00:00,15.2696,82.7036,1,False
2015-04-25 10:00:00,15.2798,82.6974,1,False
2015-04-25 11:00:00,15.2852,82.6902,1,False
2015-04-25 12:00:00,15.2852,82.682528,1,False
2015-04-25 13:00:00,15.2804,82.6742,1,False
2015-04-25 14:00:00,15.2718,82.6658,1,False
2015-04-25 15:00:00,15.2614,82.6574,1,False
2015-04-25 16:00:00,15.251,82.649,1,False
2015-04-25 17:00:00,15.242147,82.641131,1,False
2015-04-25 18:00:00,15.237281,82.633133,1,False
2015-04-25 19:00:00,15.236611,82.624543,1,False
2015-04-25 20:00:00,15.236987,82.615114,1,False
2015-04-25 21:00:00,15.23818,82.605363,1,False
2015-04-25 22:00:00,15.2346,82.5952,1,False
2015-04-25 23:00:00,15.2302,82.5852,1,False
2015-04-26 00:00:00,15.2218,82.576,1,False
2015-04-26 01:00:00,15.2088,82.5674,1,False
2015-04-26 02:00:00,15.2002,82.5604,1,False
2015-04-26 03:00:00,15.2022,82.5554,1,False
2015-04-26 04:00:00,15.2096,82.5514,1,False
2015-04-26 05:00:00,15.2198,82.5476,1,False
2015-04-26 06:00:00,15.2348,82.544,1,False
2015-04-26 07:00:00,15.2536,82.5406,1,False
2015-04-26 08:00:00,15.272485,82.536666,1,False
2015-04-26 09:00:00,15.290303,82.53247,1,False
2015-04-26 10:00:00,15.304,82.5276,1,False
2015-04-26 11:00:00,15.306,82.5216,1,False
2015-04-26 12:00:00,15.2996,82.5146,1,False
2015-04-26 13:00:00,15.2878,82.5068,1,False
2015-04-26 14:00:00,15.2702,82.4986,1,False
2015-04-26 15:00:00,15.2472,82.4896,1,False
2015-04-26 16:00:00,15.220052,82.480354,1,False
2015-04-26 17:00:00,15.1878,82.4708,1,False
2015-04-26 18:00:00,15.1562,82.4614,1,False
2015-04-26 19:00:00,15.118,82.4516,1,False
2015-04-26 20:00:00,15.072,82.4408,1,False
2015-04-26 21:00:00,15.0194,82.4302,1,False
2015-04-26 22:00:00,14.9582,82.4198,1,False
2015-04-26 23:00:00,14.8852,82.4106,1,False
