,longitude,latitude,qc,flag
2015-01-30 19:00:00,16.7684,83.0382,1,False
2015-01-30 21:00:00,16.7406,83.0332,1,False
2015-01-31 00:00:00,16.716,83.0284,1,False
2015-01-31 03:00:00,16.6886,83.024,1,False
2015-01-31 06:00:00,16.6606,83.0194,1,False
2015-01-31 09:00:00,16.6376,83.0158,1,False
2015-01-31 12:00:00,16.6204,83.0138,1,False
2015-01-31 15:00:00,16.5972,83.0118,1,False
2015-01-31 18:00:00,16.5584,83.0098,1,False
2015-01-31 21:00:00,16.506,83.0092,1,False
2015-02-01 00:00:00,16.4488,83.013,1,False
2015-02-01 03:00:00,16.3784,83.0184,1,False
2015-02-01 06:00:00,16.3022,83.0238,1,False
2015-02-01 09:00:00,16.2334,83.0286,1,False
2015-02-01 12:00:00,16.1654,83.0344,1,False
2015-02-01 15:00:00,16.107,83.0414,1,False
2015-02-01 18:00:00,16.05,83.0474,1,False
2015-02-01 21:00:00,16.0036,83.0498,1,False
2015-02-02 00:00:00,15.9694,83.0508,1,False
2015-02-02 03:00:00,15.949,83.0512,1,False
2015-02-02 06:00:00,15.9186,83.0524,1,False
2015-02-02 09:00:00,15.8822,83.0534,1,False
2015-02-02 12:00:00,15.8614,83.0544,1,False
2015-02-02 15:00:00,15.859,83.0568,1,False
2015-02-02 18:00:00,15.8622,83.0608,1,False
2015-02-02 21:00:00,15.8674,83.0648,1,False
2015-02-03 00:00:00,15.8806,83.0684,1,False
2015-02-03 03:00:00,15.9036,83.0738,1,False
2015-02-03 06:00:00,15.929,83.0804,1,False
2015-02-03 09:00:00,15.952,83.0884,1,False
2015-02-03 12:00:00,15.9768,83.1022,1,False
2015-02-03 15:00:00,15.9926,83.1244,1,False
2015-02-03 18:00:00,16.006,83.1524,1,False
2015-02-03 21:00:00,16.067,83.1768,1,False
2015-02-04 00:00:00,16.231,83.1952,1,False
2015-02-04 03:00:00,16.371,83.197,1,False
2015-02-04 06:00:00,16.4418,83.1996,1,False
2015-02-04 09:00:00,16.629,83.2146,1,False
2015-02-04 12:00:00,16.84,83.2342,1,False
2015-02-04 15:00:00,17.0212,83.2574,1,False
2015-02-04 18:00:00,17.178,83.2824,1,False
2015-02-04 21:00:00,17.209,83.3026,1,False
2015-02-05 00:00:00,17.2332,83.3244,1,False
2015-02-05 03:00:00,17.3338,83.3388,1,False
2015-02-05 06:00:00,17.393,83.3262,1,False
2015-02-05 09:00:00,17.2632,83.3014,1,False
2015-02-05 12:00:00,17.1432,83.2774,1,False
2015-02-05 15:00:00,17.1754,83.25,1,False
2015-02-05 18:00:00,17.1648,83.2144,1,False
2015-02-05 21:00:00,17.0618,83.1776,1,False
2015-02-06 00:00:00,17.048,83.1426,1,False
2015-02-06 03:00:00,17.1396,83.1082,1,False
2015-02-06 06:00:00,17.1956,83.073,1,False
2015-02-06 09:00:00,17.1986,83.0432,1,False
2015-02-06 12:00:00,17.2106,83.017,1,False
2015-02-06 15:00:00,17.2906,82.9888,1,False
2015-02-06 18:00:00,17.3524,82.956,1,False
2015-02-06 21:00:00,17.3418,82.9258,1,False
2015-02-07 00:00:00,17.3164,82.8968,1,False
2015-02-07 03:00:00,17.353,82.8636,1,False
2015-02-07 06:00:00,17.3566,82.8228,1,False
2015-02-07 09:00:00,17.2614,82.7814,1,False
2015-02-07 12:00:00,17.1728,82.7474,1,False
2015-02-07 15:00:00,17.142,82.718,1,False
2015-02-07 18:00:00,17.14,82.6888,1,False
2015-02-07 21:00:00,17.1214,82.664,1,False
2015-02-08 00:00:00,17.1304,82.6458,1,False
2015-02-08 03:00:00,17.2022,82.625,1,False
2015-02-08 06:00:00,17.2566,82.5952,1,False
2015-02-08 09:00:00,17.2568,82.567,1,False
2015-02-08 12:00:00,17.2346,82.5446,1,False
2015-02-08 15:00:00,17.2338,82.525,1,False
2015-02-08 18:00:00,17.2598,82.5076,1,False
2015-02-08 21:00:00,17.3074,82.497,1,False
2015-02-09 00:00:00,17.389,82.4876,1,False
2015-02-09 03:00:00,17.4756,82.4714,1,False
2015-02-09 06:00:00,17.5352,82.4516,1,False
2015-02-09 09:00:00,17.581,82.4352,1,False
2015-02-09 12:00:00,17.6302,82.4196,1,False
2015-02-09 15:00:00,17.6724,82.4016,1,False
2015-02-09 18:00:00,17.7106,82.3854,1,False
2015-02-09 21:00:00,17.7622,82.3742,1,False
2015-02-10 00:00:00,17.8202,82.3638,1,False
2015-02-10 03:00:00,17.8946,82.3492,1,False
2015-02-10 06:00:00,17.9826,82.3318,1,False
2015-02-10 09:00:00,18.0344,82.3168,1,False
2015-02-10 12:00:00,18.0832,82.305,1,False
2015-02-10 15:00:00,18.1494,82.29,1,False
2015-02-10 18:00:00,18.2044,82.2726,1,False
2015-02-10 21:00:00,18.2464,82.259,1,False
2015-02-11 00:00:00,18.2886,82.2472,1,False
2015-02-11 03:00:00,18.3204,82.2326,1,False
2015-02-11 06:00:00,18.3358,82.2182,1,False
2015-02-11 09:00:00,18.3288,82.2076,1,False
2015-02-11 12:00:00,18.331,82.1998,1,False
2015-02-11 15:00:00,18.348,82.1902,1,False
2015-02-11 18:00:00,18.378,82.179,1,False
2015-02-11 21:00:00,18.4014,82.1702,1,False
2015-02-12 00:00:00,18.4252,82.1632,1,False
2015-02-12 03:00:00,18.4574,82.1532,1,False
2015-02-12 06:00:00,18.4872,82.141,1,False
2015-02-12 09:00:00,18.5074,82.131,1,False
2015-02-12 12:00:00,18.5504,82.122,1,False
2015-02-12 15:00:00,18.6002,82.111,1,False
2015-02-12 18:00:00,18.6522,82.097,1,False
2015-02-12 21:00:00,18.7094,82.0828,1,False
2015-02-13 00:00:00,18.7714,82.0688,1,False
2015-02-13 03:00:00,18.8242,82.0506,1,False
2015-02-13 06:00:00,18.8374,82.0246,1,False
2015-02-13 09:00:00,18.8374,82.0036,1,False
2015-02-13 12:00:00,18.8824,81.99,1,False
2015-02-13 15:00:00,18.9602,81.9758,1,False
2015-02-13 18:00:00,19.0296,81.9574,1,False
2015-02-13 21:00:00,19.0928,81.942,1,False
2015-02-14 00:00:00,19.1728,81.9296,1,False
2015-02-14 03:00:00,19.2544,81.9166,1,False
2015-02-14 06:00:00,19.317,81.9002,1,False
2015-02-14 09:00:00,19.379,81.8866,1,False
2015-02-14 12:00:00,19.495,81.877,1,False
2015-02-14 15:00:00,19.639,81.865,1,False
2015-02-14 18:00:00,19.7438,81.848,1,False
2015-02-14 21:00:00,19.8108,81.8326,1,False
2015-02-15 00:00:00,19.8666,81.8218,1,False
2015-02-15 03:00:00,19.9038,81.8118,1,False
2015-02-15 06:00:00,19.8874,81.8032,1,False
2015-02-15 09:00:00,19.8352,81.8014,1,False
2015-02-15 12:00:00,19.7446,81.8072,1,False
2015-02-15 15:00:00,19.5802,81.8186,1,False
2015-02-15 18:00:00,19.3396,81.8428,1,False
2015-02-15 21:00:00,19.0898,81.8846,1,False
2015-02-16 00:00:00,18.8778,81.9256,1,False
2015-02-16 03:00:00,18.6516,81.9518,1,False
2015-02-16 06:00:00,18.3936,81.9722,1,False
2015-02-16 09:00:00,18.191,81.9906,1,False
2015-02-16 12:00:00,18.0778,82.0068,1,False
2015-02-16 15:00:00,17.9674,82.016,1,False
2015-02-16 18:00:00,17.8378,82.0208,1,False
2015-02-16 21:00:00,17.7548,82.0186,1,False
2015-02-17 00:00:00,17.6824,82.0102,1,False
2015-02-17 03:00:00,17.6548,82.002,1,False
2015-02-17 06:00:00,17.6254,81.9886,1,False
2015-02-17 09:00:00,17.5756,81.9744,1,False
2015-02-17 12:00:00,17.518,81.958,1,False
2015-02-17 15:00:00,17.4784,81.94,1,False
2015-02-17 18:00:00,17.4214,81.9178,1,False
2015-02-17 21:00:00,17.345,81.8934,1,False
2015-02-18 00:00:00,17.2864,81.8678,1,False
2015-02-18 03:00:00,17.2334,81.8422,1,False
2015-02-18 06:00:00,17.1634,81.8148,1,False
2015-02-18 09:00:00,17.0904,81.79,1,False
2015-02-18 12:00:00,17.0864,81.7704,1,False
2015-02-18 15:00:00,17.1624,81.7538,1,False
2015-02-18 18:00:00,17.248,81.7362,1,False
2015-02-18 21:00:00,17.3112,81.7168,1,False
2015-02-19 00:00:00,17.3752,81.6994,1,False
2015-02-19 03:00:00,17.459,81.684,1,False
2015-02-19 06:00:00,17.5402,81.6676,1,False
2015-02-19 09:00:00,17.6062,81.6478,1,False
2015-02-19 12:00:00,17.6902,81.629,1,False
2015-02-19 15:00:00,17.839,81.6168,1,False
2015-02-19 18:00:00,17.9792,81.5992,1,False
2015-02-19 21:00:00,18.023,81.5766,1,False
2015-02-20 00:00:00,18.0472,81.5576,1,False
2015-02-20 03:00:00,18.1194,81.5382,1,False
2015-02-20 06:00:00,18.2022,81.519,1,False
2015-02-20 09:00:00,18.2412,81.4964,1,False
2015-02-20 12:00:00,18.2834,81.4738,1,False
2015-02-20 15:00:00,18.4012,81.4576,1,False
2015-02-20 18:00:00,18.5932,81.446,1,False
2015-02-20 21:00:00,18.6982,81.4278,1,False
2015-02-21 00:00:00,18.733,81.4112,1,False
2015-02-21 03:00:00,18.803,81.397,1,False
2015-02-21 06:00:00,18.8654,81.3892,1,False
2015-02-21 09:00:00,18.9026,81.3812,1,False
2015-02-21 12:00:00,18.924,81.3678,1,False
2015-02-21 15:00:00,18.9712,81.3556,1,False
2015-02-21 18:00:00,19.0606,81.3456,1,False
2015-02-21 21:00:00,19.116,81.332,1,False
2015-02-22 00:00:00,19.0998,81.3208,1,False
2015-02-22 03:00:00,19.1076,81.3132,1,False
2015-02-22 06:00:00,19.1314,81.3084,1,False
2015-02-22 09:00:00,19.1266,81.301,1,False
2015-02-22 12:00:00,19.1194,81.2886,1,False
2015-02-22 15:00:00,19.1216,81.2742,1,False
2015-02-22 18:00:00,19.1844,81.2652,1,False
2015-02-22 21:00:00,19.2508,81.2542,1,False
2015-02-23 00:00:00,19.2862,81.241,1,False
2015-02-23 03:00:00,19.3334,81.2292,1,False
2015-02-23 06:00:00,19.3934,81.2248,1,False
2015-02-23 09:00:00,19.4566,81.2232,1,False
2015-02-23 12:00:00,19.4994,81.2166,1,False
2015-02-23 15:00:00,19.5268,81.2084,1,False
2015-02-23 18:00:00,19.5636,81.2046,1,False
2015-02-23 21:00:00,19.555,81.2014,1,False
2015-02-24 00:00:00,19.4774,81.1968,1,False
2015-02-24 03:00:00,19.3954,81.194,1,False
2015-02-24 06:00:00,19.315,81.1944,1,False
2015-02-24 09:00:00,19.2352,81.1974,1,False
2015-02-24 12:00:00,19.1242,81.1984,1,False
2015-02-24 15:00:00,19.0076,81.197,1,False
2015-02-24 18:00:00,18.9116,81.1996,1,False
2015-02-24 21:00:00,18.7932,81.206,1,False
2015-02-25 00:00:00,18.6406,81.216,1,False
2015-02-25 03:00:00,18.476,81.2218,1,False
2015-02-25 06:00:00,18.302,81.2252,1,False
2015-02-25 09:00:00,18.1146,81.2366,1,False
2015-02-25 12:00:00,17.946,81.2494,1,False
2015-02-25 15:00:00,17.7844,81.26,1,False
2015-02-25 18:00:00,17.6486,81.2654,1,False
2015-02-25 21:00:00,17.5638,81.2688,1,False
2015-02-26 00:00:00,17.518,81.2678,1,False
2015-02-26 03:00:00,17.4858,81.2662,1,False
2015-02-26 09:00:00,17.5762,81.2684,1,False
2015-02-26 12:00:00,17.7564,81.2636,1,False
2015-02-26 15:00:00,17.9528,81.2514,1,False
2015-02-26 18:00:00,18.1188,81.2344,1,False
2015-02-26 21:00:00,18.2582,81.2218,1,False
2015-02-27 00:00:00,18.3914,81.2116,1,False
2015-02-27 03:00:00,18.5018,81.1962,1,False
2015-02-27 06:00:00,18.5676,81.1782,1,False
2015-02-27 09:00:00,18.6206,81.1652,1,False
2015-02-27 12:00:00,18.6526,81.1578,1,False
2015-02-27 15:00:00,18.647,81.1532,1,False
2015-02-27 18:00:00,18.6014,81.1496,1,False
2015-02-27 21:00:00,18.5302,81.1506,1,False
2015-02-28 00:00:00,18.443,81.1574,1,False
2015-02-28 03:00:00,18.37,81.1636,1,False
2015-02-28 06:00:00,18.2948,81.1666,1,False
2015-02-28 09:00:00,18.2146,81.1732,1,False
2015-02-28 12:00:00,18.1706,81.1818,1,False
2015-02-28 15:00:00,18.1256,81.1902,1,False
2015-02-28 18:00:00,18.0464,81.1976,1,False
2015-02-28 21:00:00,17.9754,81.2068,1,False
2015-03-01 00:00:00,17.9264,81.2154,1,False
2015-03-01 03:00:00,17.8596,81.222,1,False
2015-03-01 06:00:00,17.7716,81.23,1,False
2015-03-01 09:00:00,17.6764,81.2414,1,False
2015-03-01 12:00:00,17.5868,81.2556,1,False
2015-03-01 15:00:00,17.4672,81.2718,1,False
2015-03-01 18:00:00,17.2706,81.2958,1,False
2015-03-01 21:00:00,17.0848,81.3184,1,False
2015-03-02 00:00:00,16.904,81.3364,1,False
2015-03-02 03:00:00,16.7396,81.3524,1,False
2015-03-02 06:00:00,16.5656,81.363,1,False
2015-03-02 09:00:00,16.3888,81.3712,1,False
2015-03-02 12:00:00,16.2516,81.3778,1,False
2015-03-02 15:00:00,16.1346,81.3842,1,False
2015-03-02 18:00:00,15.9812,81.3908,1,False
2015-03-02 21:00:00,15.7856,81.4008,1,False
2015-03-03 00:00:00,15.5808,81.413,1,False
2015-03-03 03:00:00,15.3644,81.4276,1,False
2015-03-03 06:00:00,15.1094,81.4422,1,False
2015-03-03 09:00:00,14.8532,81.456,1,False
2015-03-03 12:00:00,14.6756,81.4752,1,False
2015-03-03 15:00:00,14.6222,81.4914,1,False
2015-03-03 18:00:00,14.5916,81.4996,1,False
2015-03-03 21:00:00,14.5624,81.5024,1,False
2015-03-04 00:00:00,14.576,81.5012,1,False
2015-03-04 03:00:00,14.6186,81.5,1,False
2015-03-04 06:00:00,14.6368,81.4976,1,False
