,longitude,latitude,qc,flag
2015-04-27 15:00:00,14.1466,82.48,1,False
2015-04-27 18:00:00,14.0642,82.456,1,False
2015-04-27 21:00:00,13.9254,82.4284,1,False
2015-04-28 00:00:00,13.7278,82.409,1,False
2015-04-28 03:00:00,13.6122,82.3974,1,False
2015-04-28 06:00:00,13.5446,82.3904,1,False
2015-04-28 09:00:00,13.5136,82.3832,1,False
2015-04-28 12:00:00,13.4968,82.376,1,False
2015-04-28 15:00:00,13.4774,82.365,1,False
2015-04-28 18:00:00,13.411,82.3478,1,False
2015-04-28 21:00:00,13.3024,82.3318,1,False
2015-04-29 00:00:00,13.195,82.3204,1,False
2015-04-29 03:00:00,13.1042,82.3134,1,False
2015-04-29 06:00:00,13.076,82.3066,1,False
2015-04-29 09:00:00,13.0856,82.2994,1,False
2015-04-29 12:00:00,13.1138,82.2902,1,False
2015-04-29 15:00:00,13.1432,82.2772,1,False
2015-04-29 18:00:00,13.1302,82.2594,1,False
2015-04-29 21:00:00,13.0852,82.2436,1,False
2015-04-30 00:00:00,13.0336,82.2338,1,False
2015-04-30 03:00:00,13.0072,82.2288,1,False
2015-04-30 06:00:00,12.9932,82.2256,1,False
2015-04-30 09:00:00,13.0032,82.2208,1,False
2015-04-30 12:00:00,13.0202,82.217,1,False
2015-04-30 15:00:00,13.052,82.2128,1,False
2015-04-30 18:00:00,13.045,82.2048,1,False
2015-04-30 21:00:00,12.9974,82.198,1,False
2015-05-01 00:00:00,12.9446,82.1958,1,False
2015-05-01 03:00:00,12.8946,82.198,1,False
2015-05-01 06:00:00,12.8652,82.2006,1,False
2015-05-01 09:00:00,12.8518,82.2002,1,False
2015-05-01 12:00:00,12.8444,82.1978,1,False
2015-05-01 15:00:00,12.8356,82.1942,1,False
2015-05-01 18:00:00,12.8014,82.1874,1,False
2015-05-01 21:00:00,12.733,82.1782,1,False
2015-05-02 00:00:00,12.6698,82.1738,1,False
2015-05-02 03:00:00,12.6528,82.1728,1,False
2015-05-02 06:00:00,12.6484,82.1698,1,False
2015-05-02 09:00:00,12.6364,82.165,1,False
2015-05-02 12:00:00,12.636,82.1614,1,False
2015-05-02 15:00:00,12.6494,82.1574,1,False
2015-05-02 18:00:00,12.626,82.1516,1,False
2015-05-02 21:00:00,12.5758,82.1444,1,False
2015-05-03 00:00:00,12.5516,82.1402,1,False
2015-05-03 03:00:00,12.5798,82.1388,1,False
2015-05-03 06:00:00,12.6078,82.136,1,False
2015-05-03 09:00:00,12.6244,82.1298,1,False
2015-05-03 12:00:00,12.645,82.1232,1,False
2015-05-03 15:00:00,12.6742,82.1176,1,False
2015-05-03 18:00:00,12.6744,82.1092,1,False
2015-05-03 21:00:00,12.6418,82.099,1,False
2015-05-04 00:00:00,12.6412,82.0928,1,False
2015-05-04 03:00:00,12.6782,82.09,1,False
2015-05-04 06:00:00,12.7168,82.087,1,False
2015-05-04 09:00:00,12.7472,82.082,1,False
2015-05-04 12:00:00,12.7568,82.0706,1,False
2015-05-04 15:00:00,12.749,82.058,1,False
2015-05-04 18:00:00,12.7088,82.0438,1,False
2015-05-04 21:00:00,12.6616,82.0316,1,False
2015-05-05 00:00:00,12.6538,82.0232,1,False
2015-05-05 03:00:00,12.71,82.02,1,False
2015-05-05 06:00:00,12.787,82.0142,1,False
2015-05-05 09:00:00,12.8594,82.0034,1,False
2015-05-05 12:00:00,12.9498,81.9902,1,False
2015-05-05 15:00:00,13.0232,81.9772,1,False
2015-05-05 18:00:00,13.0376,81.9684,1,False
2015-05-05 21:00:00,13.0076,81.965,1,False
2015-05-06 00:00:00,12.9952,81.9616,1,False
2015-05-06 03:00:00,13.013,81.9596,1,False
2015-05-06 06:00:00,13.047,81.9602,1,False
2015-05-06 09:00:00,13.0722,81.9592,1,False
2015-05-06 12:00:00,13.0918,81.954,1,False
2015-05-06 15:00:00,13.08,81.9486,1,False
2015-05-06 18:00:00,13.0026,81.9452,1,False
2015-05-06 21:00:00,12.9076,81.9428,1,False
2015-05-07 00:00:00,12.8048,81.9384,1,False
2015-05-07 03:00:00,12.7126,81.935,1,False
2015-05-07 06:00:00,12.6398,81.934,1,False
2015-05-07 09:00:00,12.5524,81.9284,1,False
2015-05-07 12:00:00,12.4282,81.9152,1,False
2015-05-07 15:00:00,12.2808,81.8968,1,False
2015-05-07 18:00:00,12.1388,81.8828,1,False
2015-05-07 21:00:00,12.0054,81.8732,1,False
