datetime,longitude,latitude,sea_ice_concentration,ice_flag,buoy_id,u_wind,v_wind,slp
2015-04-20 10:00:00,14.0812,82.8952,1.0,0,n-ice2015_SVP_2015b,9.97,-3.1,1004.7
2015-04-20 11:00:00,14.1296,82.8916,1.0,0,n-ice2015_SVP_2015b,9.66,-2.43,1004.7
2015-04-20 12:00:00,14.1818,82.8868,1.0,0,n-ice2015_SVP_2015b,10.33,-2.69,1005.0
2015-04-20 13:00:00,14.2382,82.8814,1.0,0,n-ice2015_SVP_2015b,10.9,-2.89,1005.3
2015-04-20 14:00:00,14.298,82.876,1.0,0,n-ice2015_SVP_2015b,11.34,-3.16,1005.4
2015-04-20 15:00:00,14.357,82.8706,1.0,0,n-ice2015_SVP_2015b,11.15,-3.92,1006.5
2015-04-20 16:00:00,14.4118,82.8654,1.0,0,n-ice2015_SVP_2015b,10.38,-3.6,1006.8
2015-04-20 17:00:00,14.46,82.8606,1.0,0,n-ice2015_SVP_2015b,10.0,-3.38,1007.1
2015-04-20 18:00:00,14.5112,82.856,1.0,0,n-ice2015_SVP_2015b,9.48,-2.4,1007.5
2015-04-20 19:00:00,14.5598,82.8514,1.0,0,n-ice2015_SVP_2015b,9.58,-1.76,1007.9
2015-04-20 20:00:00,14.6058,82.8472,1.0,0,n-ice2015_SVP_2015b,9.67,-1.52,1008.4
2015-04-20 21:00:00,14.653,82.8428,1.0,0,n-ice2015_SVP_2015b,9.7,-1.55,1008.5
2015-04-20 22:00:00,14.6998,82.8382,1.0,0,n-ice2015_SVP_2015b,10.28,-1.29,1008.2
2015-04-20 23:00:00,14.7456,82.8334,1.0,0,n-ice2015_SVP_2015b,10.19,-1.53,1008.4
2015-04-21 00:00:00,14.7908,82.8284,1.0,0,n-ice2015_SVP_2015b,9.99,-1.92,1008.7
2015-04-21 01:00:00,14.8332,82.8238,1.0,0,n-ice2015_SVP_2015b,9.71,-2.18,1008.9
2015-04-21 02:00:00,14.8738,82.8196,1.0,0,n-ice2015_SVP_2015b,9.32,-2.48,1009.2
2015-04-21 03:00:00,14.9108,82.816,1.0,0,n-ice2015_SVP_2015b,8.92,-2.55,1009.5
2015-04-21 04:00:00,14.9442,82.813,1.0,0,n-ice2015_SVP_2015b,8.37,-2.13,1009.8
2015-04-21 05:00:00,14.9762,82.811,1.0,0,n-ice2015_SVP_2015b,8.57,-2.24,1009.9
2015-04-21 06:00:00,15.0044,82.8098,1.0,0,n-ice2015_SVP_2015b,8.53,-2.05,1010.2
2015-04-21 07:00:00,15.0312,82.809,1.0,0,n-ice2015_SVP_2015b,8.66,-1.99,1010.2
2015-04-21 08:00:00,15.0592,82.8078,1.0,0,n-ice2015_SVP_2015b,8.69,-1.68,1010.7
2015-04-21 09:00:00,15.0878,82.806,1.0,0,n-ice2015_SVP_2015b,8.87,-1.46,1011.1
2015-04-21 10:00:00,15.1182,82.8032,1.0,0,n-ice2015_SVP_2015b,7.98,-1.25,1011.1
2015-04-21 11:00:00,15.146,82.7996,1.0,0,n-ice2015_SVP_2015b,7.89,-1.39,1011.1
2015-04-21 12:00:00,15.1756,82.7956,1.0,0,n-ice2015_SVP_2015b,7.62,-1.56,1011.2
2015-04-21 13:00:00,15.2008,82.791,1.0,0,n-ice2015_SVP_2015b,7.48,-1.78,1011.0
2015-04-21 14:00:00,15.2234,82.786,1.0,0,n-ice2015_SVP_2015b,7.42,-1.93,1011.0
2015-04-21 15:00:00,15.2436,82.781,1.0,0,n-ice2015_SVP_2015b,7.42,-2.0,1011.0
2015-04-21 16:00:00,15.2576,82.7766,1.0,0,n-ice2015_SVP_2015b,7.35,-2.09,1011.0
2015-04-21 17:00:00,15.263,82.7726,1.0,0,n-ice2015_SVP_2015b,7.27,-2.26,1011.0
2015-04-21 18:00:00,15.2702,82.7698,1.0,0,n-ice2015_SVP_2015b,6.99,-2.39,1010.9
2015-04-21 19:00:00,15.2816,82.7678,1.0,0,n-ice2015_SVP_2015b,6.24,-1.74,1010.8
2015-04-21 20:00:00,15.3002,82.7656,1.0,0,n-ice2015_SVP_2015b,6.02,-1.08,1010.4
2015-04-21 21:00:00,15.3228,82.763,1.0,0,n-ice2015_SVP_2015b,6.24,-1.01,1010.5
2015-04-21 22:00:00,15.3446,82.7594,1.0,0,n-ice2015_SVP_2015b,5.49,-1.45,1010.3
2015-04-21 23:00:00,15.3664,82.7554,1.0,0,n-ice2015_SVP_2015b,5.46,-1.55,1010.3
2015-04-22 00:00:00,15.3858,82.7508,1.0,0,n-ice2015_SVP_2015b,5.26,-1.57,1010.2
2015-04-22 01:00:00,15.3994,82.7458,1.0,0,n-ice2015_SVP_2015b,5.18,-1.82,1009.9
2015-04-22 02:00:00,15.4076,82.741,1.0,0,n-ice2015_SVP_2015b,4.9,-2.23,1009.6
2015-04-22 03:00:00,15.4112,82.7372,1.0,0,n-ice2015_SVP_2015b,4.33,-2.97,1009.6
2015-04-22 04:00:00,15.4182,82.7342,1.0,0,n-ice2015_SVP_2015b,3.46,-3.92,1009.6
2015-04-22 05:00:00,15.4276,82.7322,1.0,0,n-ice2015_SVP_2015b,2.38,-4.95,1009.8
2015-04-22 06:00:00,15.4382,82.7302,1.0,0,n-ice2015_SVP_2015b,1.67,-5.59,1010.1
2015-04-22 07:00:00,15.4502,82.7284,1.0,0,n-ice2015_SVP_2015b,1.38,-5.66,1010.5
2015-04-22 08:00:00,15.462,82.7262,1.0,0,n-ice2015_SVP_2015b,1.45,-5.27,1011.1
2015-04-22 09:00:00,15.4718,82.723,1.0,0,n-ice2015_SVP_2015b,1.69,-4.95,1011.1
2015-04-22 10:00:00,15.4806,82.7188,1.0,0,n-ice2015_SVP_2015b,1.92,-4.64,1011.3
2015-04-22 11:00:00,15.4886,82.7142,1.0,0,n-ice2015_SVP_2015b,2.39,-4.61,1011.3
2015-04-22 12:00:00,15.4958,82.7088,1.0,0,n-ice2015_SVP_2015b,2.76,-5.05,1011.3
2015-04-22 13:00:00,15.5028,82.7034,1.0,0,n-ice2015_SVP_2015b,2.83,-4.78,1011.3
2015-04-22 14:00:00,15.509,82.6976,1.0,0,n-ice2015_SVP_2015b,2.95,-4.26,1011.2
2015-04-22 15:00:00,15.511,82.692,1.0,0,n-ice2015_SVP_2015b,3.02,-3.74,1011.1
2015-04-22 16:00:00,15.5078,82.687,1.0,0,n-ice2015_SVP_2015b,3.06,-3.22,1011.1
2015-04-22 17:00:00,15.5028,82.6828,1.0,0,n-ice2015_SVP_2015b,3.02,-2.79,1010.9
2015-04-22 18:00:00,15.4976,82.68,1.0,0,n-ice2015_SVP_2015b,2.62,-1.91,1010.9
2015-04-22 19:00:00,15.4884,82.6784,1.0,0,n-ice2015_SVP_2015b,2.39,-1.19,1010.6
2015-04-22 20:00:00,15.4778,82.6774,1.0,0,n-ice2015_SVP_2015b,2.21,-0.43,1010.7
2015-04-22 21:00:00,15.4694,82.6766,1.0,0,n-ice2015_SVP_2015b,2.03,0.1,1010.6
2015-04-22 22:00:00,15.463,82.676,1.0,0,n-ice2015_SVP_2015b,1.17,0.27,1011.3
2015-04-22 23:00:00,15.459,82.675,1.0,0,n-ice2015_SVP_2015b,0.29,0.25,1011.3
2015-04-23 00:00:00,15.4546,82.674,1.0,0,n-ice2015_SVP_2015b,-0.85,0.21,1011.5
2015-04-23 01:00:00,15.4478,82.6726,1.0,0,n-ice2015_SVP_2015b,-2.18,-0.1,1011.7
2015-04-23 02:00:00,15.4404,82.6714,1.0,0,n-ice2015_SVP_2015b,-2.7,-0.69,1011.9
2015-04-23 03:00:00,15.4314,82.6704,1.0,0,n-ice2015_SVP_2015b,-3.06,-1.58,1012.3
2015-04-23 04:00:00,15.4232,82.6702,1.0,0,n-ice2015_SVP_2015b,-3.2,-2.46,1012.9
2015-04-23 05:00:00,15.4128,82.6698,1.0,0,n-ice2015_SVP_2015b,-3.64,-3.32,1013.5
2015-04-23 06:00:00,15.4014,82.6698,1.0,0,n-ice2015_SVP_2015b,-3.86,-3.97,1013.9
2015-04-23 07:00:00,15.3944,82.6698,1.0,0,n-ice2015_SVP_2015b,-4.05,-4.69,1014.8
2015-04-23 08:00:00,15.384,82.669,1.0,0,n-ice2015_SVP_2015b,-4.52,-5.28,1015.5
2015-04-23 09:00:00,15.37,82.667,1.0,0,n-ice2015_SVP_2015b,-5.28,-6.18,1016.2
2015-04-23 10:00:00,15.353,82.6638,1.0,0,n-ice2015_SVP_2015b,-4.62,-5.76,1016.5
2015-04-23 11:00:00,15.3314,82.6596,1.0,0,n-ice2015_SVP_2015b,-4.88,-6.6,1016.6
2015-04-23 12:00:00,15.3064,82.6544,1.0,0,n-ice2015_SVP_2015b,-5.38,-7.49,1016.7
2015-04-23 13:00:00,15.275,82.6482,1.0,0,n-ice2015_SVP_2015b,-5.66,-8.03,1017.0
2015-04-23 14:00:00,15.2382,82.641,1.0,0,n-ice2015_SVP_2015b,-5.91,-8.33,1017.1
2015-04-23 15:00:00,15.1954,82.6332,1.0,0,n-ice2015_SVP_2015b,-6.11,-8.59,1017.4
2015-04-23 16:00:00,15.14,82.6254,1.0,0,n-ice2015_SVP_2015b,-6.28,-9.14,1017.6
2015-04-23 17:00:00,15.0744,82.6172,1.0,0,n-ice2015_SVP_2015b,-6.42,-10.4,1016.4
2015-04-23 18:00:00,14.9984,82.6088,1.0,0,n-ice2015_SVP_2015b,-6.62,-10.34,1016.5
2015-04-23 19:00:00,14.9104,82.6002,1.0,0,n-ice2015_SVP_2015b,-6.79,-10.24,1016.6
2015-04-23 20:00:00,14.8126,82.5916,1.0,0,n-ice2015_SVP_2015b,-7.91,-10.19,1016.5
2015-04-23 21:00:00,14.705,82.5832,1.0,0,n-ice2015_SVP_2015b,-9.15,-9.6,1016.6
2015-04-23 22:00:00,14.5924,82.576,1.0,0,n-ice2015_SVP_2015b,-9.98,-9.4,1016.6
