datetime,longitude,latitude,sea_ice_concentration,ice_flag,buoy_id,u_wind,v_wind,slp
2015-01-17 16:00:00,20.7078,83.212,0.99,0,n-ice2015_CALIB_2015d,1.47,3.56,1013.5
2015-01-17 17:00:00,20.74542,83.21788,0.99,0,n-ice2015_CALIB_2015d,2.24,2.38,1013.8
2015-01-17 18:00:00,20.7622,83.22,0.99,0,n-ice2015_CALIB_2015d,2.62,0.77,1013.4
2015-01-17 19:00:00,20.76479,83.21948,0.99,0,n-ice2015_CALIB_2015d,2.56,-0.95,1013.5
2015-01-17 20:00:00,20.75989,83.21744,0.99,0,n-ice2015_CALIB_2015d,2.29,-2.31,1013.8
2015-01-17 21:00:00,20.7542,83.215,0.99,0,n-ice2015_CALIB_2015d,1.98,-2.89,1014.0
2015-01-17 22:00:00,20.75293,83.21306,0.99,0,n-ice2015_CALIB_2015d,2.16,-3.71,1014.4
2015-01-17 23:00:00,20.75533,83.21155,0.99,0,n-ice2015_CALIB_2015d,2.38,-4.13,1014.5
2015-01-18 00:00:00,20.7592,83.2102,1.0,0,n-ice2015_CALIB_2015d,2.29,-4.35,1014.3
2015-01-18 01:00:00,20.76268,83.20876,1.0,0,n-ice2015_CALIB_2015d,2.04,-4.2,1014.4
2015-01-18 02:00:00,20.76541,83.20721,1.0,0,n-ice2015_CALIB_2015d,2.11,-3.92,1014.3
2015-01-18 03:00:00,20.7674,83.2056,1.0,0,n-ice2015_CALIB_2015d,2.39,-3.73,1014.4
2015-01-18 04:00:00,20.76864,83.20396,1.0,0,n-ice2015_CALIB_2015d,2.47,-3.84,1013.9
2015-01-18 05:00:00,20.76901,83.20229,1.0,0,n-ice2015_CALIB_2015d,2.49,-3.99,1013.8
2015-01-18 06:00:00,20.7684,83.2006,1.0,0,n-ice2015_CALIB_2015d,2.6,-4.13,1013.7
2015-01-18 07:00:00,20.76685,83.1989,1.0,0,n-ice2015_CALIB_2015d,2.38,-4.3,1013.5
2015-01-18 08:00:00,20.76513,83.19723,1.0,0,n-ice2015_CALIB_2015d,1.95,-4.24,1013.7
2015-01-18 09:00:00,20.7642,83.1956,1.0,0,n-ice2015_CALIB_2015d,1.63,-4.03,1013.4
2015-01-18 10:00:00,20.76479,83.19406,1.0,0,n-ice2015_CALIB_2015d,1.12,-3.5,1012.9
2015-01-18 11:00:00,20.76682,83.19265,1.0,0,n-ice2015_CALIB_2015d,1.15,-3.08,1012.7
2015-01-18 12:00:00,20.77,83.1914,1.0,0,n-ice2015_CALIB_2015d,1.1,-3.12,1012.6
2015-01-18 13:00:00,20.77396,83.19034,1.0,0,n-ice2015_CALIB_2015d,1.08,-3.24,1012.3
2015-01-18 14:00:00,20.77796,83.18942,1.0,0,n-ice2015_CALIB_2015d,1.24,-3.2,1012.2
2015-01-18 15:00:00,20.7812,83.1886,1.0,0,n-ice2015_CALIB_2015d,1.48,-2.95,1011.9
2015-01-18 16:00:00,20.7831,83.18782,1.0,0,n-ice2015_CALIB_2015d,1.68,-2.78,1012.0
2015-01-18 17:00:00,20.78403,83.18704,1.0,0,n-ice2015_CALIB_2015d,1.84,-2.65,1011.9
2015-01-18 18:00:00,20.7846,83.1862,1.0,0,n-ice2015_CALIB_2015d,1.85,-2.05,1012.4
2015-01-18 19:00:00,20.78544,83.18527,1.0,0,n-ice2015_CALIB_2015d,2.25,-1.09,1011.9
2015-01-18 20:00:00,20.78727,83.18427,1.0,0,n-ice2015_CALIB_2015d,2.62,0.01,1012.7
2015-01-18 21:00:00,20.7908,83.1832,1.0,0,n-ice2015_CALIB_2015d,2.85,1.01,1012.2
2015-01-18 22:00:00,20.79667,83.18212,1.0,0,n-ice2015_CALIB_2015d,3.07,1.58,1012.3
2015-01-18 23:00:00,20.80515,83.18124,1.0,0,n-ice2015_CALIB_2015d,2.7,2.49,1012.0
2015-01-19 00:00:00,20.8164,83.1808,0.99,0,n-ice2015_CALIB_2015d,2.14,3.38,1011.7
2015-01-19 01:00:00,20.83025,83.18098,0.99,0,n-ice2015_CALIB_2015d,1.98,4.21,1011.4
2015-01-19 02:00:00,20.84505,83.18174,0.99,0,n-ice2015_CALIB_2015d,2.34,4.89,1011.4
2015-01-19 03:00:00,20.8588,83.183,0.99,0,n-ice2015_CALIB_2015d,2.49,5.51,1010.7
2015-01-19 04:00:00,20.86981,83.18467,0.99,0,n-ice2015_CALIB_2015d,2.02,6.1,1009.8
2015-01-19 05:00:00,20.87765,83.18664,0.99,0,n-ice2015_CALIB_2015d,1.21,6.44,1008.6
2015-01-19 06:00:00,20.8822,83.1888,0.99,0,n-ice2015_CALIB_2015d,0.44,6.68,1007.6
2015-01-19 07:00:00,20.88348,83.19104,0.99,0,n-ice2015_CALIB_2015d,-0.67,6.88,1006.6
2015-01-19 08:00:00,20.88209,83.19332,0.99,0,n-ice2015_CALIB_2015d,-1.75,7.04,1005.6
2015-01-19 09:00:00,20.8788,83.1956,0.99,0,n-ice2015_CALIB_2015d,-2.38,7.23,1004.8
2015-01-19 10:00:00,20.87445,83.19785,0.99,0,n-ice2015_CALIB_2015d,-1.34,7.6,1003.3
2015-01-19 11:00:00,20.87022,83.20005,0.99,0,n-ice2015_CALIB_2015d,-1.64,7.42,1003.0
2015-01-19 12:00:00,20.8674,83.2022,0.99,0,n-ice2015_CALIB_2015d,-1.97,7.41,1001.9
2015-01-19 13:00:00,20.86655,83.20428,0.99,0,n-ice2015_CALIB_2015d,-2.45,7.37,1001.2
2015-01-19 14:00:00,20.86541,83.20623,0.99,0,n-ice2015_CALIB_2015d,-2.8,6.8,1000.5
2015-01-19 15:00:00,20.861,83.208,0.99,0,n-ice2015_CALIB_2015d,-3.16,5.88,1000.1
2015-01-19 16:00:00,20.85093,83.20953,0.99,0,n-ice2015_CALIB_2015d,-3.85,4.78,999.7
2015-01-19 17:00:00,20.8351,83.21075,0.99,0,n-ice2015_CALIB_2015d,-4.24,3.53,999.5
