datetime,longitude,latitude,sea_ice_concentration,ice_flag,buoy_id,u_wind,v_wind,slp
2015-01-18 13:00:00,21.52009,82.98465,1.0,0,n-ice2015_IMB_2015a,0.78,-3.44,1012.1
2015-01-18 14:00:00,21.52289,82.98385,1.0,0,n-ice2015_IMB_2015a,0.87,-3.56,1012.1
2015-01-18 15:00:00,21.52555,82.98305,1.0,0,n-ice2015_IMB_2015a,1.07,-3.4,1011.8
2015-01-18 16:00:00,21.52754,82.98232,1.0,0,n-ice2015_IMB_2015a,1.21,-3.27,1011.9
2015-01-18 17:00:00,21.52856,82.98154,1.0,0,n-ice2015_IMB_2015a,1.43,-3.12,1011.8
2015-01-18 18:00:00,21.52935,82.98074,1.0,0,n-ice2015_IMB_2015a,1.51,-2.57,1012.5
2015-01-18 19:00:00,21.53071,82.97981,1.0,0,n-ice2015_IMB_2015a,1.85,-1.7,1012.1
2015-01-18 20:00:00,21.53266,82.97883,1.0,0,n-ice2015_IMB_2015a,2.3,-0.73,1012.9
2015-01-18 21:00:00,21.53597,82.97769,1.0,0,n-ice2015_IMB_2015a,2.63,0.29,1012.5
2015-01-18 22:00:00,21.54129,82.97665,1.0,0,n-ice2015_IMB_2015a,2.93,0.96,1012.7
2015-01-18 23:00:00,21.54876,82.97571,1.0,0,n-ice2015_IMB_2015a,2.62,1.87,1012.4
2015-01-19 00:00:00,21.55751,82.97494,0.99,0,n-ice2015_IMB_2015a,1.98,2.84,1012.1
2015-01-19 01:00:00,21.56846,82.97477,0.99,0,n-ice2015_IMB_2015a,1.72,3.71,1011.9
2015-01-19 02:00:00,21.58091,82.97521,0.99,0,n-ice2015_IMB_2015a,1.97,4.47,1011.8
2015-01-19 03:00:00,21.59276,82.97611,0.99,0,n-ice2015_IMB_2015a,2.13,5.13,1011.3
2015-01-19 04:00:00,21.60283,82.97757,0.99,0,n-ice2015_IMB_2015a,1.63,5.75,1010.3
2015-01-19 05:00:00,21.61007,82.97947,0.99,0,n-ice2015_IMB_2015a,0.6,6.24,1009.1
2015-01-19 06:00:00,21.61393,82.98193,0.99,0,n-ice2015_IMB_2015a,-0.31,6.7,1008.0
2015-01-19 07:00:00,21.61593,82.98477,0.99,0,n-ice2015_IMB_2015a,-1.56,7.13,1006.8
2015-01-19 08:00:00,21.61647,82.98709,0.99,0,n-ice2015_IMB_2015a,-2.76,7.48,1005.7
2015-01-19 09:00:00,21.61426,82.9894,0.99,0,n-ice2015_IMB_2015a,-3.28,7.92,1004.8
2015-01-19 10:00:00,21.61192,82.99177,0.99,0,n-ice2015_IMB_2015a,-2.15,8.71,1003.5
2015-01-19 11:00:00,21.61204,82.99437,0.99,0,n-ice2015_IMB_2015a,-2.4,8.94,1003.1
2015-01-19 12:00:00,21.61362,82.99697,0.99,0,n-ice2015_IMB_2015a,-2.77,8.96,1002.0
2015-01-19 13:00:00,21.6157,82.99922,0.99,0,n-ice2015_IMB_2015a,-3.36,8.78,1001.2
2015-01-19 14:00:00,21.61647,83.00151,0.99,0,n-ice2015_IMB_2015a,-3.67,8.07,1000.4
2015-01-19 15:00:00,21.61342,83.00346,0.99,0,n-ice2015_IMB_2015a,-4.03,7.04,999.9
2015-01-19 16:00:00,21.60566,83.00509,0.99,0,n-ice2015_IMB_2015a,-4.67,6.02,999.5
2015-01-19 17:00:00,21.59243,83.00635,0.99,0,n-ice2015_IMB_2015a,-5.0,5.05,999.1
2015-01-19 18:00:00,21.57378,83.00743,0.99,0,n-ice2015_IMB_2015a,-4.75,3.98,999.5
2015-01-19 19:00:00,21.55161,83.00797,0.99,0,n-ice2015_IMB_2015a,-4.73,2.73,999.5
2015-01-19 20:00:00,21.5253,83.00806,0.99,0,n-ice2015_IMB_2015a,-4.73,1.74,1000.2
2015-01-19 21:00:00,21.49635,83.00802,0.99,0,n-ice2015_IMB_2015a,-4.84,0.99,1000.0
2015-01-19 22:00:00,21.46673,83.00738,0.99,0,n-ice2015_IMB_2015a,-4.48,-0.16,1000.1
2015-01-19 23:00:00,21.43964,83.00635,0.99,0,n-ice2015_IMB_2015a,-3.95,-1.28,1001.3
2015-01-20 00:00:00,21.41491,83.00513,0.98,0,n-ice2015_IMB_2015a,-3.63,-2.1,1001.5
2015-01-20 01:00:00,21.39383,83.00364,0.98,0,n-ice2015_IMB_2015a,-3.57,-2.71,1002.1
2015-01-20 02:00:00,21.37462,83.00215,0.98,0,n-ice2015_IMB_2015a,-3.33,-3.5,1002.8
2015-01-20 03:00:00,21.35654,83.00058,0.98,0,n-ice2015_IMB_2015a,-3.0,-3.98,1003.4
2015-01-20 04:00:00,21.33746,82.99892,0.98,0,n-ice2015_IMB_2015a,-2.65,-4.5,1004.1
2015-01-20 05:00:00,21.31628,82.99723,0.98,0,n-ice2015_IMB_2015a,-2.34,-4.91,1005.1
2015-01-20 06:00:00,21.29355,82.99547,0.98,0,n-ice2015_IMB_2015a,-1.95,-5.43,1006.3
2015-01-20 07:00:00,21.26944,82.99361,0.98,0,n-ice2015_IMB_2015a,-1.9,-5.84,1007.5
2015-01-20 08:00:00,21.24213,82.99172,0.98,0,n-ice2015_IMB_2015a,-2.06,-6.12,1008.8
2015-01-20 09:00:00,21.21322,82.98961,0.98,0,n-ice2015_IMB_2015a,-2.69,-6.1,1010.0
2015-01-20 10:00:00,21.18599,82.98751,0.98,0,n-ice2015_IMB_2015a,-2.86,-5.45,1011.1
2015-01-20 11:00:00,21.16472,82.98548,0.98,0,n-ice2015_IMB_2015a,-2.73,-4.7,1012.3
2015-01-20 12:00:00,21.15012,82.98354,0.98,0,n-ice2015_IMB_2015a,-2.31,-4.43,1013.1
2015-01-20 13:00:00,21.14173,82.98205,0.98,0,n-ice2015_IMB_2015a,-2.58,-4.32,1014.1
2015-01-20 14:00:00,21.1369,82.9809,0.98,0,n-ice2015_IMB_2015a,-3.06,-3.91,1014.8
2015-01-20 15:00:00,21.13348,82.97999,0.98,0,n-ice2015_IMB_2015a,-3.08,-3.23,1015.8
2015-01-20 16:00:00,21.12994,82.97916,0.98,0,n-ice2015_IMB_2015a,-2.89,-2.68,1016.9
2015-01-20 17:00:00,21.12482,82.97849,0.98,0,n-ice2015_IMB_2015a,-2.9,-2.4,1017.3
