datetime,longitude,latitude,sea_ice_concentration,ice_flag,buoy_id,u_wind,v_wind,slp
2015-01-29 17:00:00,17.04051,83.09049,0.95,0,n-ice2015_SIMBA_2015g,-3.04,-1.72,1021.7
2015-01-29 18:00:00,17.02869,83.08923,0.95,0,n-ice2015_SIMBA_2015g,-3.03,-1.91,1022.0
2015-01-29 19:00:00,17.01712,83.08792,0.95,0,n-ice2015_SIMBA_2015g,-3.13,-2.03,1022.0
2015-01-29 20:00:00,17.00693,83.08655,0.95,0,n-ice2015_SIMBA_2015g,-3.12,-1.89,1022.6
2015-01-29 21:00:00,16.99898,83.08507,0.95,0,n-ice2015_SIMBA_2015g,-3.17,-1.73,1022.7
2015-01-29 22:00:00,16.99256,83.08337,0.95,0,n-ice2015_SIMBA_2015g,-2.86,-2.21,1022.4
2015-01-29 23:00:00,16.98555,83.08157,0.95,0,n-ice2015_SIMBA_2015g,-2.86,-2.24,1022.5
2015-01-30 00:00:00,16.97715,83.07974,0.96,0,n-ice2015_SIMBA_2015g,-2.88,-2.23,1022.6
2015-01-30 01:00:00,16.96744,83.07789,0.96,0,n-ice2015_SIMBA_2015g,-3.0,-2.2,1022.7
2015-01-30 02:00:00,16.95688,83.07613,0.96,0,n-ice2015_SIMBA_2015g,-3.12,-1.95,1022.8
2015-01-30 03:00:00,16.94644,83.07442,0.96,0,n-ice2015_SIMBA_2015g,-3.08,-1.65,1023.0
2015-01-30 04:00:00,16.93646,83.07287,0.96,0,n-ice2015_SIMBA_2015g,-2.86,-1.58,1023.2
2015-01-30 05:00:00,16.92706,83.07131,0.96,0,n-ice2015_SIMBA_2015g,-2.72,-1.73,1023.3
2015-01-30 06:00:00,16.91859,83.06986,0.96,0,n-ice2015_SIMBA_2015g,-2.76,-1.71,1023.5
2015-01-30 07:00:00,16.91049,83.06832,0.96,0,n-ice2015_SIMBA_2015g,-2.84,-1.61,1023.2
2015-01-30 08:00:00,16.90284,83.06688,0.96,0,n-ice2015_SIMBA_2015g,-2.84,-1.64,1023.4
2015-01-30 09:00:00,16.89491,83.06535,0.96,0,n-ice2015_SIMBA_2015g,-2.94,-1.82,1023.6
2015-01-30 10:00:00,16.8865,83.06378,0.96,0,n-ice2015_SIMBA_2015g,-2.73,-2.05,1023.6
2015-01-30 11:00:00,16.8782,83.06234,0.96,0,n-ice2015_SIMBA_2015g,-2.75,-1.91,1023.6
2015-01-30 12:00:00,16.86914,83.06083,0.96,0,n-ice2015_SIMBA_2015g,-2.84,-1.84,1023.8
2015-01-30 13:00:00,16.85844,83.05933,0.96,0,n-ice2015_SIMBA_2015g,-2.98,-1.83,1023.4
2015-01-30 14:00:00,16.84711,83.05775,0.96,0,n-ice2015_SIMBA_2015g,-3.08,-1.59,1023.9
2015-01-30 15:00:00,16.83567,83.05615,0.96,0,n-ice2015_SIMBA_2015g,-3.13,-1.43,1023.7
2015-01-30 16:00:00,16.82323,83.05449,0.96,0,n-ice2015_SIMBA_2015g,-3.01,-1.39,1023.8
2015-01-30 17:00:00,16.81177,83.05285,0.96,0,n-ice2015_SIMBA_2015g,-2.89,-1.45,1023.6
2015-01-30 18:00:00,16.80116,83.05115,0.96,0,n-ice2015_SIMBA_2015g,-2.75,-1.64,1024.0
2015-01-30 19:00:00,16.79108,83.0495,0.96,0,n-ice2015_SIMBA_2015g,-2.82,-1.76,1023.5
2015-01-30 20:00:00,16.78185,83.0478,0.96,0,n-ice2015_SIMBA_2015g,-2.96,-1.92,1023.9
2015-01-30 21:00:00,16.77319,83.0461,0.96,0,n-ice2015_SIMBA_2015g,-3.27,-1.85,1024.1
2015-01-30 22:00:00,16.76563,83.0444,0.96,0,n-ice2015_SIMBA_2015g,-3.31,-1.91,1024.0
2015-01-30 23:00:00,16.75739,83.04291,0.96,0,n-ice2015_SIMBA_2015g,-3.31,-1.78,1024.3
2015-01-31 00:00:00,16.74858,83.04139,0.97,0,n-ice2015_SIMBA_2015g,-3.26,-1.57,1024.4
2015-01-31 01:00:00,16.74021,83.0399,0.97,0,n-ice2015_SIMBA_2015g,-3.15,-1.55,1024.3
2015-01-31 02:00:00,16.73142,83.03846,0.97,0,n-ice2015_SIMBA_2015g,-3.21,-1.47,1024.8
2015-01-31 03:00:00,16.72184,83.03683,0.97,0,n-ice2015_SIMBA_2015g,-3.33,-1.32,1024.7
2015-01-31 04:00:00,16.71242,83.0354,0.97,0,n-ice2015_SIMBA_2015g,-3.49,-1.12,1024.8
2015-01-31 05:00:00,16.70367,83.03391,0.97,0,n-ice2015_SIMBA_2015g,-3.77,-1.06,1025.3
2015-01-31 06:00:00,16.69386,83.03234,0.97,0,n-ice2015_SIMBA_2015g,-4.1,-0.83,1025.4
2015-01-31 07:00:00,16.68453,83.03087,0.97,0,n-ice2015_SIMBA_2015g,-4.21,-0.41,1025.6
2015-01-31 08:00:00,16.6767,83.02974,0.97,0,n-ice2015_SIMBA_2015g,-4.29,-0.07,1025.9
2015-01-31 09:00:00,16.67072,83.02879,0.97,0,n-ice2015_SIMBA_2015g,-4.46,0.15,1026.1
2015-01-31 10:00:00,16.66516,83.02803,0.97,0,n-ice2015_SIMBA_2015g,-4.86,0.03,1026.0
2015-01-31 11:00:00,16.66003,83.02738,0.97,0,n-ice2015_SIMBA_2015g,-4.75,0.1,1026.1
2015-01-31 12:00:00,16.65381,83.02673,0.97,0,n-ice2015_SIMBA_2015g,-4.88,0.29,1026.9
2015-01-31 13:00:00,16.64711,83.02609,0.97,0,n-ice2015_SIMBA_2015g,-5.07,0.41,1026.8
2015-01-31 14:00:00,16.63914,83.02545,0.97,0,n-ice2015_SIMBA_2015g,-5.37,0.7,1027.1
2015-01-31 15:00:00,16.63026,83.02478,0.97,0,n-ice2015_SIMBA_2015g,-5.62,1.09,1027.3
2015-01-31 16:00:00,16.61879,83.02412,0.97,0,n-ice2015_SIMBA_2015g,-5.86,1.57,1027.3
2015-01-31 17:00:00,16.60553,83.02338,0.97,0,n-ice2015_SIMBA_2015g,-5.89,2.13,1027.3
2015-01-31 18:00:00,16.59179,83.02262,0.97,0,n-ice2015_SIMBA_2015g,-5.79,2.6,1027.7
2015-01-31 19:00:00,16.57497,83.02206,0.97,0,n-ice2015_SIMBA_2015g,-5.63,2.95,1027.3
2015-01-31 20:00:00,16.55734,83.02184,0.97,0,n-ice2015_SIMBA_2015g,-5.5,3.32,1027.8
2015-01-31 21:00:00,16.53904,83.02222,0.97,0,n-ice2015_SIMBA_2015g,-5.57,3.57,1027.8
2015-01-31 22:00:00,16.52105,83.02296,0.97,0,n-ice2015_SIMBA_2015g,-5.76,3.63,1027.2
2015-01-31 23:00:00,16.50212,83.02419,0.97,0,n-ice2015_SIMBA_2015g,-5.84,3.9,1027.4
2015-02-01 00:00:00,16.48194,83.02579,0.97,0,n-ice2015_SIMBA_2015g,-5.87,4.25,1026.9
2015-02-01 01:00:00,16.45995,83.02755,0.97,0,n-ice2015_SIMBA_2015g,-5.98,4.38,1027.0
2015-02-01 02:00:00,16.43723,83.02942,0.97,0,n-ice2015_SIMBA_2015g,-6.06,4.48,1026.8
2015-02-01 03:00:00,16.41243,83.03129,0.97,0,n-ice2015_SIMBA_2015g,-6.1,4.46,1026.9
