datetime,longitude,latitude,sea_ice_concentration,ice_flag,buoy_id,u_wind,v_wind,slp
2015-01-18 12:00:00,21.0196,83.2238,0.98,0,n-ice2015_SVP_2015a,1.11,-3.13,1012.6
2015-01-18 13:00:00,21.024,83.2228,0.98,0,n-ice2015_SVP_2015a,1.09,-3.26,1012.2
2015-01-18 14:00:00,21.028,83.2218,0.98,0,n-ice2015_SVP_2015a,1.23,-3.23,1012.1
2015-01-18 15:00:00,21.031,83.221,0.98,0,n-ice2015_SVP_2015a,1.47,-2.99,1011.8
2015-01-18 16:00:00,21.0334,83.2204,0.98,0,n-ice2015_SVP_2015a,1.67,-2.82,1012.0
2015-01-18 17:00:00,21.0344,83.2196,0.98,0,n-ice2015_SVP_2015a,1.82,-2.7,1011.8
2015-01-18 18:00:00,21.0344,83.2188,0.98,0,n-ice2015_SVP_2015a,1.82,-2.12,1012.3
2015-01-18 19:00:00,21.0352,83.2178,0.98,0,n-ice2015_SVP_2015a,2.21,-1.17,1011.9
2015-01-18 20:00:00,21.037,83.2168,0.98,0,n-ice2015_SVP_2015a,2.6,-0.08,1012.7
2015-01-18 21:00:00,21.04,83.2156,0.98,0,n-ice2015_SVP_2015a,2.84,0.92,1012.2
2015-01-18 22:00:00,21.0456,83.2146,0.98,0,n-ice2015_SVP_2015a,3.08,1.5,1012.3
2015-01-18 23:00:00,21.0552,83.214,0.98,0,n-ice2015_SVP_2015a,2.74,2.4,1012.0
2015-01-19 00:00:00,21.0666,83.2132,0.98,0,n-ice2015_SVP_2015a,2.18,3.29,1011.7
2015-01-19 01:00:00,21.081,83.2134,0.98,0,n-ice2015_SVP_2015a,2.0,4.12,1011.4
2015-01-19 02:00:00,21.0962,83.214,0.98,0,n-ice2015_SVP_2015a,2.33,4.82,1011.4
2015-01-19 03:00:00,21.1096,83.2152,0.98,0,n-ice2015_SVP_2015a,2.5,5.45,1010.7
2015-01-19 04:00:00,21.1212,83.2168,0.98,0,n-ice2015_SVP_2015a,2.05,6.05,1009.8
2015-01-19 05:00:00,21.1294,83.2188,0.98,0,n-ice2015_SVP_2015a,1.26,6.39,1008.7
2015-01-19 06:00:00,21.134,83.221,0.98,0,n-ice2015_SVP_2015a,0.49,6.66,1007.7
2015-01-19 07:00:00,21.1358,83.2238,0.98,0,n-ice2015_SVP_2015a,-0.62,6.89,1006.7
2015-01-19 08:00:00,21.1354,83.226,0.98,0,n-ice2015_SVP_2015a,-1.71,7.09,1005.7
2015-01-19 09:00:00,21.1304,83.2278,0.98,0,n-ice2015_SVP_2015a,-2.36,7.32,1004.8
2015-01-19 10:00:00,21.1234,83.23,0.98,0,n-ice2015_SVP_2015a,-1.34,7.71,1003.4
2015-01-19 11:00:00,21.1198,83.2324,0.98,0,n-ice2015_SVP_2015a,-1.62,7.56,1003.1
2015-01-19 12:00:00,21.1176,83.2346,0.98,0,n-ice2015_SVP_2015a,-1.95,7.55,1002.0
2015-01-19 13:00:00,21.1166,83.2368,0.98,0,n-ice2015_SVP_2015a,-2.43,7.5,1001.2
2015-01-19 14:00:00,21.115,83.239,0.98,0,n-ice2015_SVP_2015a,-2.79,6.93,1000.6
2015-01-19 15:00:00,21.1102,83.2406,0.98,0,n-ice2015_SVP_2015a,-3.16,6.01,1000.2
2015-01-19 16:00:00,21.0998,83.2422,0.98,0,n-ice2015_SVP_2015a,-3.83,4.95,999.8
2015-01-19 17:00:00,21.084,83.2434,0.98,0,n-ice2015_SVP_2015a,-4.22,3.74,999.6
2015-01-19 18:00:00,21.0622,83.2444,0.98,0,n-ice2015_SVP_2015a,-4.02,2.39,1000.0
2015-01-19 19:00:00,21.0372,83.2448,0.98,0,n-ice2015_SVP_2015a,-4.08,1.16,1000.1
2015-01-19 20:00:00,21.0082,83.2446,0.98,0,n-ice2015_SVP_2015a,-4.12,0.39,1000.8
2015-01-19 21:00:00,20.975,83.2444,0.98,0,n-ice2015_SVP_2015a,-4.17,-0.44,1000.6
2015-01-19 22:00:00,20.9416,83.2436,0.98,0,n-ice2015_SVP_2015a,-3.83,-1.94,1000.8
2015-01-19 23:00:00,20.9098,83.242,0.98,0,n-ice2015_SVP_2015a,-3.55,-2.77,1002.0
2015-01-20 00:00:00,20.8848,83.2402,0.97,0,n-ice2015_SVP_2015a,-3.34,-3.24,1002.2
2015-01-20 01:00:00,20.8644,83.2384,0.97,0,n-ice2015_SVP_2015a,-3.2,-3.88,1002.8
2015-01-20 02:00:00,20.845,83.2366,0.97,0,n-ice2015_SVP_2015a,-2.95,-4.43,1003.4
2015-01-20 03:00:00,20.8282,83.2346,0.97,0,n-ice2015_SVP_2015a,-2.69,-4.95,1004.1
2015-01-20 04:00:00,20.8126,83.2326,0.97,0,n-ice2015_SVP_2015a,-2.53,-5.31,1004.8
2015-01-20 05:00:00,20.7938,83.2308,0.97,0,n-ice2015_SVP_2015a,-2.29,-5.46,1005.7
2015-01-20 06:00:00,20.7758,83.2286,0.97,0,n-ice2015_SVP_2015a,-1.88,-5.8,1007.0
2015-01-20 07:00:00,20.7558,83.2264,0.97,0,n-ice2015_SVP_2015a,-1.75,-6.18,1008.1
2015-01-20 08:00:00,20.7356,83.224,0.97,0,n-ice2015_SVP_2015a,-1.88,-6.47,1009.4
2015-01-20 09:00:00,20.7128,83.2214,0.97,0,n-ice2015_SVP_2015a,-2.64,-6.45,1010.5
2015-01-20 10:00:00,20.6902,83.2186,0.97,0,n-ice2015_SVP_2015a,-2.88,-5.7,1011.6
2015-01-20 11:00:00,20.672,83.2162,0.97,0,n-ice2015_SVP_2015a,-2.79,-4.88,1012.8
2015-01-20 12:00:00,20.6588,83.214,0.97,0,n-ice2015_SVP_2015a,-2.38,-4.52,1013.6
2015-01-20 13:00:00,20.652,83.2124,0.97,0,n-ice2015_SVP_2015a,-2.49,-4.42,1014.6
2015-01-20 14:00:00,20.6472,83.2114,0.97,0,n-ice2015_SVP_2015a,-2.89,-4.15,1015.3
2015-01-20 15:00:00,20.6438,83.2104,0.97,0,n-ice2015_SVP_2015a,-2.89,-3.62,1016.2
2015-01-20 16:00:00,20.6402,83.2096,0.97,0,n-ice2015_SVP_2015a,-2.74,-3.06,1017.3
2015-01-20 17:00:00,20.6354,83.2088,0.97,0,n-ice2015_SVP_2015a,-2.69,-2.65,1017.7
2015-01-20 18:00:00,20.628,83.2078,0.97,0,n-ice2015_SVP_2015a,-2.8,-2.31,1018.3
2015-01-20 19:00:00,20.619,83.2066,0.97,0,n-ice2015_SVP_2015a,-3.1,-2.01,1018.9
2015-01-20 20:00:00,20.6078,83.2054,0.97,0,n-ice2015_SVP_2015a,-3.52,-1.45,1019.3
2015-01-20 21:00:00,20.5964,83.2048,0.97,0,n-ice2015_SVP_2015a,-3.29,-0.73,1019.8
2015-01-20 22:00:00,20.5864,83.2038,0.97,0,n-ice2015_SVP_2015a,-3.51,-0.75,1020.2
2015-01-20 23:00:00,20.577,83.2028,0.97,0,n-ice2015_SVP_2015a,-4.05,0.02,1020.4
2015-01-21 00:00:00,20.5696,83.202,0.96,0,n-ice2015_SVP_2015a,-3.91,0.99,1020.0
2015-01-21 01:00:00,20.56621,83.20135,0.96,0,n-ice2015_SVP_2015a,-3.91,1.84,1020.1
2015-01-21 02:00:00,20.5658,83.201,0.96,0,n-ice2015_SVP_2015a,-3.94,2.5,1019.6
2015-01-21 03:00:00,20.56649,83.20112,0.96,0,n-ice2015_SVP_2015a,-4.02,3.15,1019.3
2015-01-21 04:00:00,20.56644,83.20193,0.96,0,n-ice2015_SVP_2015a,-4.2,3.81,1018.8
2015-01-21 05:00:00,20.5638,83.2036,0.96,0,n-ice2015_SVP_2015a,-4.45,4.51,1018.1
2015-01-21 06:00:00,20.5588,83.206,0.96,0,n-ice2015_SVP_2015a,-4.75,5.46,1017.0
2015-01-21 07:00:00,20.5574,83.2084,0.96,0,n-ice2015_SVP_2015a,-4.74,6.55,1016.2
2015-01-21 08:00:00,20.5594,83.2118,0.96,0,n-ice2015_SVP_2015a,-3.62,7.46,1015.4
